x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.000904377, 0.0048853, -692.892, 2.65581, 41.58, 0.00575348, 23.8919, 47.6729, -28.2697
0.00332232, 0.0139994, -1121.39, 14.5255, 41.8859, 0.0055124, 55.0021, 24.1227, -61.75
0.0108967, 0.0217894, -1115.2, 21.9299, 31.4581, 0.00479001, 54.2351, -4.44055, -57.9362
0.0203914, 0.028457, -984.001, 24.6422, 20.7635, 0.00426567, 43.8132, -19.1228, -45.1053
0.0312706, 0.0343963, -879.326, 25.5019, 13.9626, 0.00396756, 34.7774, -25.6499, -35.1062
0.0433046, 0.0398084, -799.509, 26.1147, 10.4097, 0.003801, 28.2309, -28.5124, -28.1976
0.056423, 0.0448232, -732.062, 26.6729, 8.59128, 0.00368163, 23.3874, -29.4499, -23.2215
0.0706221, 0.0495203, -676.206, 26.9471, 7.53046, 0.00356215, 19.5664, -29.2344, -19.3994
0.0859261, 0.0539478, -631.641, 27.0113, 6.76036, 0.00343611, 16.443, -28.4789, -16.3258
0.102373, 0.0581326, -595.003, 26.9352, 6.07765, 0.00330974, 13.847, -27.5004, -13.7729
0.119966, 0.0620787, -563.242, 26.699, 5.41239, 0.00319054, 11.6622, -26.4444, -11.6156
0.138721, 0.0657849, -534.739, 26.3552, 4.7658, 0.00308322, 9.80937, -25.4024, -9.78024
0.158751, 0.0692601, -508.645, 25.9522, 4.14672, 0.00298686, 8.21333, -24.3967, -8.19582
0.18017, 0.0725027, -484.291, 25.5222, 3.5628, 0.00289954, 6.82531, -23.4227, -6.81452
0.203049, 0.0754966, -461.323, 25.082, 3.01845, 0.00281958, 5.6106, -22.4752, -5.60378
0.227465, 0.0782218, -439.484, 24.637, 2.51318, 0.00274576, 4.54184, -21.5499, -4.53747
0.253503, 0.0806548, -418.542, 24.1873, 2.04428, 0.00267742, 3.59803, -20.6444, -3.59519
0.281259, 0.0827687, -398.311, 23.7322, 1.60897, 0.0026142, 2.76316, -19.758, -2.76124
0.310834, 0.0845335, -378.669, 23.2699, 1.20412, 0.00255578, 2.02306, -18.89, -2.02182
0.342341, 0.0859161, -359.473, 22.801, 0.828215, 0.00250197, 1.36884, -18.0404, -1.36784
0.3759, 0.0868798, -340.694, 22.324, 0.478904, 0.00245248, 0.789695, -17.2087, -0.789021
0.410081, 0.0873826, -323.019, 21.8663, 0.167944, 0.00240897, 0.299439, -16.4313, -0.298747
0.443693, 0.0874355, -306.913, 21.4352, -0.100432, 0.00237131, -0.104443, -15.7238, 0.104886
0.477025, 0.0870927, -291.975, 21.0256, -0.335645, 0.00233834, -0.442168, -15.0724, 0.442445
0.510074, 0.0863928, -278.088, 20.6352, -0.544095, 0.00230926, -0.728583, -14.4704, 0.728459
0.542842, 0.0853687, -265.09, 20.265, -0.729505, 0.00228366, -0.971518, -13.9139, 0.971195
0.575328, 0.0840482, -252.947, 19.9127, -0.896429, 0.00226098, -1.18128, -13.3975, 1.18048
0.607538, 0.0824552, -241.523, 19.5802, -1.04708, 0.00224104, -1.36175, -12.9194, 1.36073
0.63948, 0.0806087, -230.838, 19.2657, -1.18542, 0.00222346, -1.52161, -12.4757, 1.51998
0.671157, 0.0785251, -220.775, 18.9705, -1.31318, 0.00220817, -1.66276, -12.0647, 1.66081
0.702568, 0.0762192, -211.377, 18.6987, -1.4326, 0.00219519, -1.79055, -11.6873, 1.78807
0.733713, 0.0737016, -202.682, 18.4523, -1.54699, 0.00218455, -1.91054, -11.3432, 1.90727
0.764585, 0.0709819, -194.693, 18.2423, -1.65797, 0.00217667, -2.02467, -11.0379, 2.02082
0.795168, 0.0680694, -187.666, 18.0662, -1.7679, 0.00217204, -2.14046, -10.7745, 2.13542
0.825422, 0.0649743, -181.885, 17.9724, -1.87871, 0.00217417, -2.26571, -10.5922, 2.25924
0.855455, 0.0616905, -178.592, 17.9225, -2.01756, 0.00218391, -2.44755, -10.4848, 2.43552
0.88523, 0.0582773, -179.753, 18.6139, -2.11602, 0.0022422, -2.63245, -10.8972, 2.63648
0.914496, 0.0532839, -198.037, 18.3395, -3.09861, 0.0022418, -4.30711, -10.6417, 4.15959
0.942288, 0.0440302, -182.081, 11.2545, -3.64953, 0.00167622, -4.14989, -5.19632, 3.98864
0.96772, 0.029871, -119.357, 1.14787, -1.68785, 0.000654583, -0.692133, -0.51446, 0.797372
0.989939, 0.0118582, -94.4339, -4.03384, 1.84229, 0.000964032, 1.1788, 0.236054, -1.04006
-0.00512594, 0.0051338, -411.581, 11.8761, 34.5814, 0.0137538, 22.339, -37.2752, -14.3775
-0.00092662, 0.0147205, -722.039, 26.3699, 34.8994, 0.011483, 4.44421, -30.6632, 7.51174
0.00669038, 0.0229331, -859.764, 34.9238, 30.8782, 0.0106826, 6.45677, -15.944, 2.09297
0.0162801, 0.029973, -879.839, 37.7439, 25.6586, 0.0102776, 13.518, -9.12806, -9.79652
0.0272915, 0.0362363, -845.812, 37.6487, 20.6781, 0.0098261, 16.1761, -8.35288, -15.353
0.0394828, 0.0419279, -791.207, 36.4326, 16.5072, 0.00941545, 14.7727, -8.84791, -15.0545
0.0527747, 0.0471823, -732.532, 34.9332, 13.3123, 0.00902046, 11.8467, -8.86963, -12.4001
0.0671561, 0.0520839, -678.835, 33.6036, 10.9892, 0.00852647, 8.88789, -8.40026, -9.38195
0.082646, 0.0566853, -633.674, 32.5387, 9.26876, 0.00792577, 6.44412, -7.55513, -6.78884
0.0992781, 0.061018, -596.067, 31.6902, 7.92531, 0.00729951, 4.64742, -6.61437, -4.86646
0.117054, 0.0650901, -563.666, 31.0099, 6.82945, 0.00673785, 3.43603, -5.83442, -3.57201
0.135987, 0.0689042, -534.777, 30.4205, 5.89864, 0.00626614, 2.62629, -5.22761, -2.71029
0.156189, 0.0724723, -508.458, 29.8681, 5.07874, 0.00587225, 2.0603, -4.75191, -2.11338
0.177772, 0.0757957, -484.004, 29.3232, 4.34072, 0.00553828, 1.64144, -4.36322, -1.67644
0.200808, 0.0788609, -461.006, 28.7757, 3.66996, 0.00524967, 1.31513, -4.03234, -1.33956
0.225375, 0.0816501, -439.169, 28.2239, 3.05653, 0.00499625, 1.05178, -3.74198, -1.0697
0.251557, 0.0841416, -418.245, 27.6678, 2.49316, 0.00477203, 0.834952, -3.48314, -0.84862
0.279449, 0.0863103, -398.041, 27.108, 1.97455, 0.00457323, 0.654298, -3.25021, -0.665047
0.309154, 0.0881274, -378.426, 26.5446, 1.49581, 0.00439712, 0.502564, -3.03995, -0.511297
0.340786, 0.0895611, -359.26, 25.9773, 1.05425, 0.00424102, 0.374454, -2.84844, -0.381733
0.374465, 0.0905758, -340.506, 25.406, 0.646049, 0.00410335, 0.265471, -2.67408, -0.271703
0.408759, 0.0911282, -322.855, 24.8561, 0.283865, 0.00398539, 0.175562, -2.517, -0.180954
0.442477, 0.0912279, -306.764, 24.3449, -0.0282884, 0.00388604, 0.102927, -2.38202, -0.107588
0.475908, 0.0909303, -291.835, 23.8635, -0.301734, 0.0038012, 0.0431217, -2.26335, -0.0469545
0.509052, 0.0902742, -277.95, 23.4086, -0.544302, 0.00372867, -0.00706481, -2.15857, 0.00404624
0.541909, 0.0892928, -264.953, 22.9777, -0.760065, 0.00366623, -0.0494315, -2.06422, 0.0472309
0.574479, 0.0880143, -252.806, 22.5693, -0.95476, 0.00361244, -0.0860365, -1.97926, 0.0846047
0.606768, 0.0864625, -241.379, 22.1821, -1.13055, 0.00356568, -0.117673, -1.90094, 0.117044
0.638786, 0.0846569, -230.682, 21.8159, -1.29271, 0.00352508, -0.145846, -1.82891, 0.146051
0.670534, 0.0826137, -220.61, 21.469, -1.44256, 0.00348951, -0.170879, -1.76146, 0.171938
