x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00181678, 0.00501568, -121.319, 1.11414, 29.0232, 0.00474198, 9.76546, 30.3338, -11.0037
0.000742556, 0.0148301, -541.243, 10.1491, 35.703, 0.00516626, 35.8696, 26.7574, -39.9481
0.00692903, 0.0239156, -663.548, 18.192, 33.7483, 0.00491818, 46.7749, 9.53593, -49.9035
0.01523, 0.0322072, -650.477, 23.0479, 28.7693, 0.00454033, 45.9583, -3.9737, -47.7823
0.0250528, 0.0399929, -629.366, 25.8741, 24.2317, 0.00424162, 42.0555, -12.4418, -43.2267
0.036148, 0.0474136, -618.004, 27.763, 20.8147, 0.0040652, 38.3004, -17.9908, -39.1146
0.0484336, 0.0545639, -608.706, 29.1675, 18.2781, 0.00395904, 35.0004, -21.9035, -35.5771
0.0618988, 0.0614968, -599.312, 30.233, 16.3234, 0.0038687, 31.8967, -24.6756, -32.3191
0.0765638, 0.0682355, -591.041, 31.0308, 14.7324, 0.003776, 28.9163, -26.6219, -29.2473
0.0923751, 0.0747474, -584.404, 31.6116, 13.3557, 0.00368358, 26.0908, -28.0105, -26.3682
0.109371, 0.0810188, -578.719, 32.0009, 12.0887, 0.00359562, 23.4131, -29.0326, -23.6593
0.127705, 0.0870619, -572.927, 32.23, 10.8715, 0.00351394, 20.8502, -29.7913, -21.0742
0.147455, 0.0928393, -566.68, 32.3227, 9.6764, 0.00343795, 18.3623, -30.3346, -18.5709
0.168688, 0.0982947, -559.506, 32.2977, 8.49212, 0.00336679, 15.9291, -30.6756, -16.1243
0.191475, 0.103361, -551.036, 32.1674, 7.31517, 0.00329996, 13.5402, -30.8204, -13.723
0.21589, 0.107959, -540.95, 31.9301, 6.14016, 0.00323592, 11.1802, -30.7578, -11.3513
0.242016, 0.111995, -528.637, 31.5787, 4.96785, 0.0031726, 8.85332, -30.4579, -9.01151
0.269938, 0.115364, -513.74, 31.0983, 3.79976, 0.00310734, 6.56565, -29.8874, -6.71034
0.29975, 0.117945, -495.7, 30.4651, 2.63987, 0.00303815, 4.34105, -29.0135, -4.47067
0.33155, 0.119598, -473.812, 29.6474, 1.49654, 0.00296323, 2.218, -27.8071, -2.33008
0.36545, 0.120162, -447.118, 28.5602, 0.37462, 0.00287769, 0.231583, -26.1909, -0.324343
0.39998, 0.119576, -414.559, 27.2247, -0.636228, 0.00278327, -1.3949, -24.2101, 1.33408
0.433881, 0.11804, -378.388, 25.9725, -1.36187, 0.00269822, -2.3819, -22.2684, 2.36588
0.467461, 0.115808, -348.19, 24.9658, -1.85742, 0.00262711, -3.03226, -20.6162, 3.02893
0.500744, 0.112972, -323.647, 24.099, -2.24658, 0.00256521, -3.54692, -19.1847, 3.54182
0.5337, 0.10957, -300.309, 23.2496, -2.58062, 0.00250718, -3.9449, -17.8515, 3.94217
0.566325, 0.105638, -277.322, 22.3795, -2.86873, 0.00245004, -4.24118, -16.5705, 4.24146
0.598615, 0.101208, -254.933, 21.4905, -3.11344, 0.00239312, -4.44882, -15.3369, 4.45151
0.630569, 0.096309, -233.074, 20.5833, -3.31686, 0.00233576, -4.57598, -14.1458, 4.58105
0.662181, 0.0909665, -211.547, 19.651, -3.48027, 0.00227686, -4.62869, -12.9877, 4.63625
0.69345, 0.0852031, -190.186, 18.6851, -3.60332, 0.00221522, -4.61032, -11.8545, 4.62047
0.724367, 0.0790397, -168.906, 17.6768, -3.68452, 0.00214969, -4.52322, -10.7406, 4.53601
0.754922, 0.0724967, -147.65, 16.6176, -3.72126, 0.0020791, -4.36864, -9.64277, 4.3841
0.785159, 0.065579, -126.365, 15.4935, -3.71029, 0.00200181, -4.14764, -8.55537, 4.1657
0.815114, 0.058289, -104.999, 14.2858, -3.64589, 0.00191565, -3.85868, -7.47206, 3.87921
0.844716, 0.0506542, -83.5856, 12.9865, -3.5222, 0.00181888, -3.50294, -6.39812, 3.52599
0.873861, 0.0427158, -62.418, 11.5683, -3.32572, 0.00170819, -3.07812, -5.3287, 3.10251
0.902739, 0.0344286, -41.3496, 10.0771, -3.06578, 0.00158369, -2.60538, -4.30566, 2.63302
0.931345, 0.0258011, -21.8203, 8.25135, -2.66744, 0.00142393, -2.04119, -3.2057, 2.06172
0.959508, 0.0168896, -1.13612, 7.01956, -2.35869, 0.00130829, -1.59885, -2.52646, 1.64639
0.986762, 0.00720346, 9.32371, 2.98653, -1.67033, 0.00102886, -0.905072, -1.01291, 0.91388
-0.00603749, 0.00526409, -49.5633, 6.65837, 25.8313, 0.01416, 23.8011, -20.3845, -21.7223
-0.00350421, 0.0155507, -318.255, 17.6939, 29.2955, 0.0122197, 6.907, -26.2297, 0.639454
0.00272558, 0.0250581, -470.722, 26.2956, 27.7841, 0.010297, 0.753584, -16.0836, 6.25057
0.0111219, 0.0337213, -531.84, 31.0156, 25.4384, 0.00883176, 1.63106, -8.33911, 2.84904
0.021077, 0.0418303, -556.891, 33.4232, 23.1901, 0.00771686, 2.87736, -4.90253, -0.239756
0.0323297, 0.0495298, -569.92, 34.7014, 21.0416, 0.00706833, 3.35621, -3.65616, -1.71223
0.0447889, 0.0569189, -575.238, 35.3743, 19.0122, 0.00662484, 3.32421, -3.17251, -2.23544
0.0584365, 0.0640555, -575.041, 35.7118, 17.1563, 0.00619494, 2.99979, -2.92959, -2.24656
0.0732876, 0.0709673, -572.346, 35.8934, 15.4849, 0.00576085, 2.56364, -2.77, -2.01359
0.0892846, 0.0776263, -569.046, 36.0214, 13.9727, 0.00535668, 2.14389, -2.64948, -1.71507
0.106464, 0.0840229, -565.58, 36.1288, 12.575, 0.00500754, 1.79951, -2.56829, -1.44296
0.124975, 0.090173, -561.443, 36.2065, 11.2486, 0.00471762, 1.52948, -2.52028, -1.21872
0.144897, 0.0960424, -556.483, 36.2387, 9.96444, 0.00448093, 1.31514, -2.50102, -1.03674
0.166295, 0.101578, -550.399, 36.2052, 8.70437, 0.00429148, 1.13766, -2.50408, -0.884608
0.189239, 0.106715, -542.887, 36.0899, 7.45818, 0.00414629, 0.981939, -2.52489, -0.750081
