x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00153144, 0.00502163, -326.011, 1.03824, 33.9443, 0.00510984, 12.7929, 37.1481, -15.0884
0.00156453, 0.014703, -756.279, 11.3865, 39.0951, 0.00540061, 42.8732, 28.3497, -48.0601
0.00822584, 0.023469, -833.003, 19.4736, 34.3415, 0.00494207, 50.7534, 6.46925, -54.2101
0.0169555, 0.0313488, -773.576, 23.7518, 27.2158, 0.00447547, 46.6511, -8.12564, -48.4386
0.0271669, 0.0386622, -720.494, 25.9862, 21.5574, 0.00421991, 41.414, -16.562, -42.4319
0.0386117, 0.0455738, -684.7, 27.4587, 17.7894, 0.00408568, 36.9165, -21.7568, -37.531
0.0512089, 0.0521953, -654.568, 28.5605, 15.3151, 0.00397266, 32.8688, -24.8844, -33.2311
0.0649487, 0.0585952, -627.731, 29.3577, 13.5991, 0.0038474, 29.149, -26.58, -29.3718
0.0798521, 0.0648116, -605.34, 29.8911, 12.297, 0.00371607, 25.8094, -27.4055, -25.9695
0.0959551, 0.0708612, -587.05, 30.2103, 11.2025, 0.00359455, 22.8867, -27.7989, -23.0216
0.113212, 0.0767177, -571.534, 30.3638, 10.2098, 0.00348995, 20.336, -27.992, -20.4595
0.131686, 0.0823795, -557.561, 30.3883, 9.26927, 0.00339989, 18.0634, -28.067, -18.1803
0.15154, 0.0878635, -544.39, 30.321, 8.36033, 0.00331985, 15.9825, -28.0428, -16.094
0.172844, 0.0931417, -531.743, 30.1882, 7.47872, 0.00324689, 14.0452, -27.9245, -14.1517
0.19567, 0.0981782, -519.316, 30.0064, 6.62347, 0.0031798, 12.2262, -27.7172, -12.3272
0.220097, 0.10293, -506.887, 29.7832, 5.79269, 0.00311802, 10.507, -27.4271, -10.6025
0.246212, 0.107347, -494.227, 29.5196, 4.98367, 0.00306092, 8.8735, -27.0547, -8.96353
0.274109, 0.111372, -481.128, 29.2158, 4.19522, 0.00300774, 7.31802, -26.5972, -7.40239
0.303894, 0.114937, -467.5, 28.867, 3.42433, 0.00295762, 5.83095, -26.0504, -5.91017
0.335677, 0.117966, -453.11, 28.4715, 2.67093, 0.00291019, 4.41402, -25.4129, -4.48775
0.36958, 0.120374, -437.933, 28.0231, 1.93445, 0.002865, 3.06427, -24.6827, -3.13319
0.40415, 0.122021, -422.474, 27.549, 1.23958, 0.00282358, 1.83548, -23.9012, -1.89732
0.438173, 0.122868, -407.324, 27.0636, 0.608739, 0.00278598, 0.755918, -23.1022, -0.811464
0.471927, 0.122987, -392.442, 26.5705, 0.0303126, 0.0027514, -0.202792, -22.2919, 0.152479
0.505399, 0.122423, -377.912, 26.0793, -0.501582, 0.00271969, -1.05614, -21.4842, 1.01005
0.538579, 0.121215, -363.938, 25.607, -0.993314, 0.00269122, -1.82061, -20.6987, 1.77752
0.571442, 0.119404, -351.031, 25.2061, -1.44788, 0.00266802, -2.50888, -19.9801, 2.46824
0.604005, 0.116981, -340.622, 24.9085, -1.90065, 0.00265114, -3.21339, -19.3678, 3.16821
0.636249, 0.113766, -332.165, 24.3471, -2.48039, 0.00262179, -4.15446, -18.5372, 4.08356
0.668103, 0.109595, -314.755, 23.373, -3.10491, 0.00257327, -4.98846, -17.3111, 4.92705
0.699537, 0.104479, -290.677, 22.101, -3.66775, 0.00250527, -5.58975, -15.7824, 5.54669
0.730552, 0.0984519, -263.794, 20.6437, -4.12404, 0.00242052, -5.94355, -14.082, 5.91697
0.761153, 0.0915453, -234.784, 19.0265, -4.45308, 0.00231942, -6.03752, -12.2784, 6.02778
0.791315, 0.0837958, -203.774, 17.2377, -4.63563, 0.00219997, -5.86526, -10.4127, 5.87237
0.820988, 0.0752475, -171.345, 15.2625, -4.64938, 0.00205934, -5.42893, -8.52745, 5.4515
0.850116, 0.0659533, -138.338, 13.1057, -4.47498, 0.00189502, -4.75038, -6.68181, 4.78614
0.878728, 0.0559401, -105.997, 10.7417, -4.08338, 0.00170061, -3.85801, -4.91132, 3.90143
0.906871, 0.04522, -75.3043, 8.29043, -3.49644, 0.00147392, -2.84894, -3.32625, 2.8972
0.934514, 0.0338325, -49.5399, 5.52736, -2.6131, 0.00112364, -1.65596, -1.76717, 1.68654
0.961578, 0.0218451, -25.892, 3.96603, -2.06407, 0.000786967, -0.86591, -0.902728, 0.912077
0.98749, 0.00887732, -17.8506, -0.545776, -0.561565, 0.000671065, -0.191156, -0.0841456, 0.21326
-0.00575234, 0.00527004, -184.507, 7.90918, 29.6434, 0.0140123, 23.9336, -26.247, -19.7857
-0.00268283, 0.0154237, -469.345, 20.4934, 31.5271, 0.0119578, 5.72935, -28.6965, 3.75178
0.00402158, 0.0246119, -611.959, 29.4303, 29.2154, 0.0100267, 1.86611, -15.8887, 5.75332
0.0128465, 0.0328633, -652.197, 33.6978, 26.1517, 0.00890381, 4.42797, -8.03204, 0.0739809
0.0231901, 0.0405001, -655.627, 35.3518, 23.1674, 0.00853441, 6.56936, -5.36167, -4.07936
0.0347923, 0.0476907, -647.316, 35.8156, 20.3793, 0.00819135, 7.02189, -4.60052, -5.68106
0.047563, 0.0545513, -631.948, 35.7266, 17.9008, 0.00769779, 6.34101, -4.30627, -5.61616
0.0614852, 0.0611551, -613.152, 35.4118, 15.8017, 0.00709131, 5.22542, -4.05503, -4.81197
0.0765745, 0.0675447, -594.79, 35.0698, 14.0514, 0.00647047, 4.12409, -3.78797, -3.85551
0.0928632, 0.0737416, -578.498, 34.7865, 12.5687, 0.00593561, 3.2437, -3.54541, -3.03626
0.110302, 0.0797235, -564.124, 34.5671, 11.2792, 0.00551064, 2.60055, -3.34879, -2.41885
0.128954, 0.0854923, -550.996, 34.3819, 10.1236, 0.00517324, 2.1363, -3.19758, -1.96795
0.148981, 0.0910684, -538.521, 34.1981, 9.05597, 0.0048958, 1.78724, -3.07615, -1.62905
0.170449, 0.0964267, -526.472, 33.9949, 8.05052, 0.00466181, 1.5111, -2.97446, -1.363
0.193433, 0.101534, -514.582, 33.7594, 7.09154, 0.0044639, 1.28237, -2.88653, -1.14449
0.21801, 0.106349, -502.631, 33.4851, 6.16854, 0.004298, 1.0855, -2.80923, -0.957632
0.244268, 0.110824, -490.401, 33.1684, 5.27455, 0.00415913, 0.910914, -2.73963, -0.792603
0.272302, 0.114902, -477.693, 32.807, 4.40642, 0.00404145, 0.752195, -2.67345, -0.642894
0.302217, 0.118519, -464.409, 32.3994, 3.5599, 0.00394101, 0.605492, -2.60989, -0.504633
0.334125, 0.121599, -450.338, 31.9432, 2.73481, 0.0038556, 0.46886, -2.5472, -0.37591
0.368147, 0.124057, -435.44, 31.4352, 1.9292, 0.00378467, 0.340029, -2.48644, -0.254291
0.402829, 0.125754, -420.198, 30.8993, 1.17258, 0.00372766, 0.224039, -2.42529, -0.146567
0.436959, 0.126647, -405.252, 30.358, 0.487509, 0.00368242, 0.121345, -2.36808, -0.0515794
0.470813, 0.126811, -390.539, 29.8106, -0.14142, 0.00364572, 0.0276942, -2.31174, 0.0355109
0.504379, 0.12629, -376.145, 29.262, -0.721978, 0.00361544, -0.0589255, -2.25378, 0.116802
0.537647, 0.125125, -362.267, 28.7193, -1.26226, 0.00358917, -0.140311, -2.18947, 0.194192
0.570594, 0.123357, -349.379, 28.1977, -1.76882, 0.00356137, -0.221625, -2.09795, 0.273896
0.603236, 0.120976, -338.635, 27.765, -2.3009, 0.00353182, -0.308013, -1.97357, 0.369009
0.635556, 0.117801, -329.479, 27.3143, -3.02232, 0.00353438, -0.41537, -1.94615, 0.491319
0.66748, 0.113672, -312.349, 26.6003, -3.74917, 0.00357053, -0.512161, -2.0264, 0.589523
0.698983, 0.108597, -288.889, 25.6137, -4.36561, 0.00362155, -0.616137, -2.15233, 0.676626
0.730062, 0.102612, -262.603, 24.4118, -4.86058, 0.00367289, -0.734871, -2.28076, 0.770852
0.760724, 0.0957465, -234.197, 23.0119, -5.22688, 0.00371866, -0.863196, -2.40074, 0.87276
0.790944, 0.0880388, -203.799, 21.4127, -5.44788, 0.00375718, -0.997968, -2.5141, 0.979947
0.820674, 0.0795325, -171.957, 19.6053, -5.50174, 0.00378724, -1.1379, -2.62197, 1.09127
0.849855, 0.0702805, -139.461, 17.5868, -5.36843, 0.00380527, -1.27569, -2.71992, 1.20203
0.878518, 0.0603097, -107.502, 15.3066, -5.01505, 0.00380831, -1.41038, -2.7938, 1.31055
0.906711, 0.0496321, -76.9236, 12.8285, -4.45953, 0.00377926, -1.49145, -2.81004, 1.38406
