x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00166514, 0.00505813, -300.806, 0.536817, 33.3326, 0.00505473, 10.9481, 36.6109, -13.0608
0.00119717, 0.0148724, -731.293, 10.7003, 38.8591, 0.00539759, 40.9367, 29.6671, -45.9354
0.00767956, 0.023859, -809.972, 18.8611, 34.6876, 0.00498947, 50.1379, 8.77095, -53.5155
0.0162612, 0.0320147, -756.321, 23.3203, 28.0614, 0.00452148, 46.9162, -5.75965, -48.7079
0.0263435, 0.0396425, -709.545, 25.7433, 22.6952, 0.0042571, 42.2271, -14.3354, -43.2902
0.037675, 0.0468997, -679.45, 27.3637, 19.0327, 0.0041241, 38.1732, -19.7899, -38.8477
0.0501738, 0.0538947, -654.08, 28.5787, 16.5621, 0.00401868, 34.4661, -23.2684, -34.8875
0.0638293, 0.0606941, -631.29, 29.4758, 14.8116, 0.00390213, 30.9702, -25.3513, -31.2448
0.0786625, 0.0673345, -612.413, 30.1074, 13.4663, 0.00377784, 27.7537, -26.549, -27.9569
0.0947096, 0.0738312, -597.229, 30.5246, 12.3313, 0.00365872, 24.8687, -27.2543, -25.0389
0.111925, 0.0801531, -584.616, 30.7733, 11.3003, 0.0035543, 22.3081, -27.7148, -22.4617
0.130374, 0.0862971, -573.351, 30.8887, 10.3211, 0.00346545, 20.0077, -28.0415, -20.1516
0.150222, 0.0922808, -562.698, 30.9084, 9.37105, 0.00338857, 17.8879, -28.2667, -18.0242
0.171537, 0.0980731, -552.429, 30.8592, 8.44456, 0.0033198, 15.8947, -28.3917, -16.0245
0.194394, 0.103635, -542.257, 30.7568, 7.53941, 0.00325656, 13.9959, -28.4106, -14.1194
0.218874, 0.108919, -531.948, 30.6075, 6.65294, 0.00319767, 12.1718, -28.3228, -12.2891
0.245065, 0.113869, -521.255, 30.4113, 5.78198, 0.00314279, 10.4114, -28.1297, -10.5225
0.273064, 0.118422, -509.941, 30.1676, 4.92546, 0.00309175, 8.7109, -27.8318, -8.81574
0.302975, 0.122504, -497.905, 29.8727, 4.0809, 0.00304386, 7.06335, -27.4258, -7.16243
0.334912, 0.12603, -484.923, 29.524, 3.24816, 0.0029985, 5.47081, -26.9066, -5.56388
0.368996, 0.128904, -470.94, 29.1132, 2.42641, 0.00295494, 3.93129, -26.2673, -4.01906
0.403765, 0.13096, -456.353, 28.6664, 1.64413, 0.00291473, 2.51178, -25.5465, -2.59111
0.437996, 0.132141, -441.807, 28.1976, 0.927804, 0.00287791, 1.24864, -24.7798, -1.32051
0.471963, 0.132523, -427.292, 27.7144, 0.266887, 0.00284391, 0.116494, -23.9803, -0.181835
