x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00166514, 0.00505813, 63.3575, 2.85511, 23.3271, 0.0042368, 10.7266, 21.7487, -11.3397
0.00119717, 0.0148724, -322.595, 10.3208, 30.7519, 0.00467288, 30.7648, 19.2248, -34.1484
0.00767956, 0.023859, -483.262, 17.6635, 30.2228, 0.00452223, 40.1048, 5.53481, -42.9746
0.0162612, 0.0320147, -501.732, 22.3409, 26.332, 0.00422165, 39.7556, -5.67927, -41.4471
0.0263435, 0.0396425, -493.495, 25.0538, 22.4282, 0.00396441, 36.4865, -12.687, -37.5418
0.037675, 0.0468997, -489.322, 26.7801, 19.3814, 0.00377998, 32.9986, -17.0732, -33.7261
0.0501738, 0.0538947, -486.765, 27.9922, 17.0739, 0.0036451, 29.839, -19.9524, -30.3533
0.0638293, 0.0606941, -483.353, 28.8626, 15.2721, 0.00353842, 27.0304, -21.9032, -27.403
0.0786625, 0.0673345, -479.655, 29.4793, 13.8032, 0.00344944, 24.5284, -23.2715, -24.8146
0.0947096, 0.0738312, -476.421, 29.9065, 12.5497, 0.00337297, 22.2781, -24.2698, -22.5129
0.111925, 0.0801531, -473.733, 30.1883, 11.4322, 0.00330594, 20.223, -25.0202, -20.4255
0.130374, 0.0862971, -471.124, 30.3505, 10.3991, 0.00324582, 18.3109, -25.5876, -18.4916
0.150222, 0.0922808, -468.189, 30.4182, 9.41873, 0.0031905, 16.4942, -26.0042, -16.659
0.171537, 0.0980731, -464.901, 30.4123, 8.47685, 0.00313855, 14.7457, -26.2867, -14.8983
0.194394, 0.103635, -461.097, 30.3455, 7.56492, 0.00308886, 13.0495, -26.4394, -13.1918
0.218874, 0.108919, -456.762, 30.2252, 6.67586, 0.00304079, 11.3949, -26.467, -11.5275
0.245065, 0.113869, -451.726, 30.0526, 5.80334, 0.0029947, 9.77869, -26.3757, -9.9012
0.273064, 0.118422, -445.655, 29.8269, 4.94585, 0.00295182, 8.20598, -26.1765, -8.31911
0.302975, 0.122504, -438.464, 29.5462, 4.10226, 0.00291224, 6.67472, -25.8718, -6.78083
0.334912, 0.12603, -429.981, 29.2099, 3.27401, 0.00287494, 5.18747, -25.4541, -5.2889
0.368996, 0.128904, -420.448, 28.8165, 2.45969, 0.0028386, 3.74136, -24.915, -3.83953
0.403765, 0.13096, -410.241, 28.3946, 1.68482, 0.00280439, 2.39973, -24.2907, -2.49059
0.437996, 0.132141, -400.13, 27.9606, 0.973328, 0.00277312, 1.19853, -23.6242, -1.28089
0.471963, 0.132523, -390.091, 27.522, 0.313176, 0.00274481, 0.114471, -22.9327, -0.187263
0.50565, 0.132154, -380.16, 27.0884, -0.303152, 0.00271955, -0.867971, -22.2329, 0.805346
0.539045, 0.131074, -370.208, 26.671, -0.881227, 0.00269732, -1.76311, -21.5391, 1.70953
0.57212, 0.129325, -360.781, 26.3329, -1.42211, 0.00268052, -2.58131, -20.9036, 2.53557
0.604889, 0.12689, -353.59, 26.1033, -1.96432, 0.0026702, -3.43381, -20.3702, 3.38377
0.637327, 0.123557, -348.314, 25.5627, -2.6616, 0.00264475, -4.58906, -19.5608, 4.50603
0.66935, 0.11914, -332.331, 24.563, -3.4084, 0.00259726, -5.61603, -18.2852, 5.54017
0.700924, 0.113655, -309.273, 23.2535, -4.08319, 0.00252888, -6.37528, -16.6717, 6.31378
0.732058, 0.107141, -283.651, 21.7736, -4.63612, 0.00244433, -6.85194, -14.8853, 6.80115
0.762736, 0.0996372, -256.492, 20.1635, -5.04976, 0.0023454, -7.04242, -13.0124, 7.00241
0.792912, 0.0911936, -227.607, 18.4145, -5.30898, 0.00223093, -6.941, -11.0985, 6.91472
0.822545, 0.0818621, -197.214, 16.5048, -5.39783, 0.00209838, -6.54988, -9.17997, 6.5414
0.851576, 0.071707, -165.608, 14.4204, -5.30096, 0.00194507, -5.8839, -7.30278, 5.89835
0.880058, 0.0607531, -133.385, 12.1068, -4.98724, 0.00176428, -4.9551, -5.48756, 4.99485
0.908008, 0.0490315, -101.15, 9.6246, -4.45772, 0.00155424, -3.84378, -3.82971, 3.91005
0.935392, 0.0365916, -71.9364, 6.72721, -3.5878, 0.00128938, -2.5499, -2.26809, 2.62151
0.962153, 0.0235051, -43.9727, 4.76689, -2.91184, 0.00106537, -1.61442, -1.36405, 1.72073
0.987692, 0.00942838, -32.1909, -0.324424, -0.990875, 0.000619621, -0.311058, -0.102954, 0.359512
-0.00588591, 0.00530652, 82.4418, 7.07378, 20.8505, 0.0141462, 20.8798, -15.9358, -20.0286
-0.00304989, 0.015593, -165.374, 16.1711, 25.0287, 0.0121618, 5.76015, -23.2493, 0.304234
0.0034757, 0.0250016, -326.112, 23.9806, 24.1575, 0.0101909, -0.650793, -15.02, 6.88768
0.0121526, 0.0335288, -399.667, 28.5248, 22.1443, 0.00867585, -0.112534, -7.89663, 4.29256
0.0223671, 0.04148, -431.206, 30.871, 20.2327, 0.00752757, 1.16825, -4.48896, 1.33415
0.0338561, 0.0490161, -448.084, 32.1226, 18.4765, 0.00663334, 1.7329, -3.05933, -0.214599
0.0465284, 0.05625, -457.807, 32.822, 16.8418, 0.00592221, 1.81787, -2.41542, -0.850699
0.0603663, 0.0632531, -462.32, 33.2109, 15.3504, 0.00536744, 1.70498, -2.09761, -1.05299
0.0753855, 0.0700667, -463.677, 33.4325, 14.0086, 0.00493837, 1.52969, -1.93271, -1.06235
0.0916183, 0.0767104, -463.636, 33.5739, 12.7943, 0.00459818, 1.35017, -1.84373, -0.993197
0.109016, 0.0831575, -463.027, 33.6761, 11.6792, 0.00432431, 1.19388, -1.79659, -0.905672
0.127643, 0.0894084, -461.962, 33.7452, 10.6351, 0.00410277, 1.06685, -1.77905, -0.823166
0.147663, 0.095484, -460.232, 33.7747, 9.63791, 0.00392102, 0.961331, -1.77961, -0.748772
0.169143, 0.101356, -457.895, 33.7582, 8.6722, 0.00376796, 0.867337, -1.78921, -0.678055
0.192158, 0.106988, -454.873, 33.6911, 7.72865, 0.00363474, 0.778147, -1.80159, -0.607295
0.216788, 0.112335, -451.184, 33.5727, 6.79992, 0.0035161, 0.690385, -1.81321, -0.534592
0.243122, 0.117343, -446.714, 33.3994, 5.88132, 0.00341522, 0.604291, -1.82539, -0.46111
0.271257, 0.12195, -441.169, 33.1668, 4.97534, 0.00333944, 0.52071, -1.841, -0.388689
0.301298, 0.126083, -434.448, 32.8712, 4.08234, 0.00328666, 0.437532, -1.85845, -0.315816
0.33336, 0.12966, -426.379, 32.512, 3.20444, 0.00324829, 0.352613, -1.87224, -0.240617
0.367563, 0.132584, -417.176, 32.088, 2.33531, 0.00321665, 0.263002, -1.8781, -0.158957
0.402445, 0.134689, -407.198, 31.6249, 1.50561, 0.00318984, 0.174655, -1.87225, -0.0786633
0.436782, 0.135916, -397.293, 31.1499, 0.739692, 0.00316931, 0.0899852, -1.86096, -0.000283664
0.470848, 0.136344, -387.434, 30.6673, 0.0249248, 0.00315465, 0.0086957, -1.84418, 0.0763672
0.50463, 0.136018, -377.654, 30.1806, -0.64529, 0.00314396, -0.068632, -1.8199, 0.149922
0.538114, 0.134981, -367.835, 29.6946, -1.27458, 0.00313507, -0.141291, -1.78606, 0.218592
0.571272, 0.133273, -358.465, 29.2199, -1.86698, 0.00312204, -0.213958, -1.71903, 0.28807
0.604121, 0.130881, -350.893, 28.8366, -2.49016, 0.00310625, -0.293213, -1.61575, 0.373275
0.636634, 0.127589, -344.762, 28.4348, -3.34663, 0.00312098, -0.397934, -1.60829, 0.491526
0.668728, 0.123213, -329.148, 27.7481, -4.20627, 0.00316483, -0.49598, -1.70602, 0.588397
0.700369, 0.11777, -306.83, 26.7774, -4.93912, 0.00322003, -0.606909, -1.84504, 0.679725
0.731567, 0.111297, -281.9, 25.592, -5.53563, 0.00327351, -0.737577, -1.97965, 0.784729
0.762307, 0.103835, -255.395, 24.2192, -5.99718, 0.00331983, -0.882256, -2.09587, 0.904728
0.792541, 0.0954338, -227.154, 22.6642, -6.31167, 0.00335801, -1.03541, -2.19525, 1.035
0.82223, 0.0861446, -197.37, 20.9213, -6.463, 0.00338786, -1.19423, -2.28249, 1.17171
0.851314, 0.0760321, -166.331, 18.9848, -6.4329, 0.00340783, -1.35251, -2.3626, 1.3084
0.879848, 0.0651208, -134.624, 16.7979, -6.18297, 0.00341631, -1.51111, -2.43722, 1.44178
0.907847, 0.0534422, -102.745, 14.3937, -5.70822, 0.00340257, -1.63437, -2.49976, 1.54728
0.935279, 0.0410455, -73.8155, 11.4382, -4.84828, 0.00338146, -1.79665, -2.49756, 1.66141
0.962086, 0.0280024, -45.2433, 9.09836, -4.12951, 0.00330854, -1.55442, -2.40514, 1.50707
0.98767, 0.0139693, -35.009, 3.6314, -1.7829, 0.00318151, -2.10679, -2.05466, 1.71351
-0.0110097, 0.00560812, 92.4171, 10.3916, 19.1656, 0.0263459, 26.0098, -19.3359, -25.7552
-0.00820537, 0.0164679, -86.4893, 16.1163, 23.1311, 0.0238021, -0.0648407, -21.1488, -1.31338
-0.0016272, 0.0263889, -251.396, 21.7776, 24.147, 0.0205718, -9.81396, -7.68453, 6.79419
0.00716542, 0.0353673, -354.229, 26.0153, 23.2893, 0.0176635, -8.60216, 0.0285522, 5.8948
0.0175406, 0.0437111, -403.433, 28.8581, 21.6333, 0.0152886, -5.51653, 2.2004, 3.74615
0.0292209, 0.0515858, -427.332, 30.7609, 19.8074, 0.0134195, -3.13347, 2.23246, 2.04211
0.0421039, 0.0591096, -441.038, 32.0672, 18.0604, 0.0119578, -1.5573, 1.7098, 0.85927
0.0561632, 0.06636, -448.745, 32.9649, 16.4618, 0.0108037, -0.571157, 1.11673, 0.10966
0.0714082, 0.0733838, -452.467, 33.5809, 15.0155, 0.00986778, 0.00467714, 0.599815, -0.318793
0.0878665, 0.0802061, -454.064, 34.0117, 13.7025, 0.00907077, 0.315147, 0.198065, -0.538082
0.105486, 0.0868052, -454.654, 34.3204, 12.5008, 0.0083733, 0.468023, -0.0922551, -0.634792
0.124329, 0.0931858, -454.538, 34.5416, 11.3815, 0.00775493, 0.534279, -0.2997, -0.663843
0.144557, 0.099373, -453.613, 34.6924, 10.3197, 0.00720119, 0.553728, -0.452347, -0.656527
0.166237, 0.105342, -451.918, 34.7821, 9.29886, 0.00670379, 0.547706, -0.569025, -0.630835
0.189443, 0.11106, -449.427, 34.8153, 8.3071, 0.00625676, 0.527478, -0.662516, -0.595982
0.214256, 0.116483, -446.183, 34.7949, 7.33501, 0.00585965, 0.499304, -0.740267, -0.557158
0.240764, 0.121561, -442.129, 34.7193, 6.37586, 0.00555474, 0.470514, -0.814832, -0.520662
0.269065, 0.126233, -436.998, 34.5829, 5.42945, 0.0053662, 0.443458, -0.896253, -0.487417
0.299264, 0.130428, -430.654, 34.3796, 4.49388, 0.00524666, 0.412906, -0.981525, -0.451231
0.331477, 0.134066, -422.905, 34.1059, 3.56975, 0.00515231, 0.374169, -1.06264, -0.406993
0.365824, 0.137051, -413.93, 33.7603, 2.64984, 0.00506585, 0.326018, -1.13589, -0.354123
0.400843, 0.139216, -404.16, 33.3638, 1.77154, 0.00499972, 0.273031, -1.19923, -0.298728
0.435309, 0.1405, -394.415, 32.9422, 0.956345, 0.00496017, 0.216868, -1.25349, -0.240714
0.469497, 0.140981, -384.715, 32.5031, 0.192198, 0.00494066, 0.15829, -1.30036, -0.180606
0.503392, 0.140709, -375.1, 32.0529, -0.525651, 0.00493387, 0.0980456, -1.3406, -0.119378
0.536983, 0.139723, -365.448, 31.5993, -1.19925, 0.00493538, 0.0352184, -1.37452, -0.0567542
0.570243, 0.138067, -356.125, 31.1609, -1.83831, 0.00495316, -0.0363316, -1.40183, 0.0154891
0.603188, 0.135725, -348.074, 30.775, -2.50588, 0.00498245, -0.0978296, -1.38096, 0.0814735
