x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.000980719, 0.00484125, -101.693, 4.53403, 28.246, 0.00469482, 18.2496, 25.9224, -19.9172
0.00307991, 0.0139158, -499.6, 13.7031, 33.3009, 0.0048127, 40.3116, 14.4713, -44.7816
0.0104691, 0.0217172, -629.256, 20.9305, 29.3015, 0.00436002, 43.7925, -4.67917, -47.0696
0.0197759, 0.0284078, -610.256, 24.6154, 22.6259, 0.00392093, 37.9387, -16.3072, -39.6133
0.0304739, 0.0343752, -569.778, 26.2996, 17.0837, 0.00368516, 31.874, -22.4612, -32.7344
0.0423342, 0.0398104, -537.183, 27.2633, 13.3442, 0.00355948, 26.9142, -25.8274, -27.3828
0.055285, 0.0448359, -509.503, 27.9406, 10.9009, 0.00345665, 22.7545, -27.4452, -23.003
0.0693207, 0.0495248, -484.398, 28.3718, 9.2199, 0.00334464, 19.1867, -27.8722, -19.3172
0.0844635, 0.0539177, -462.096, 28.5598, 7.96041, 0.00322647, 16.1432, -27.6015, -16.2226
0.100721, 0.058028, -442.607, 28.5443, 6.92948, 0.00311651, 13.5815, -27.0336, -13.6432
0.118071, 0.0618492, -425.268, 28.3723, 6.02269, 0.00302104, 11.4124, -26.375, -11.4685
0.136605, 0.0653864, -409.053, 28.0793, 5.18636, 0.00293783, 9.53405, -25.6782, -9.58622
0.156453, 0.0686412, -393.258, 27.6994, 4.40015, 0.0028626, 7.87183, -24.9396, -7.91909
0.17768, 0.0715903, -377.644, 27.259, 3.66018, 0.00279254, 6.38334, -24.1547, -6.42572
0.200353, 0.0742036, -361.989, 26.7732, 2.96532, 0.00272631, 5.0426, -23.3244, -5.08114
0.224546, 0.0764456, -346.194, 26.2518, 2.31389, 0.00266354, 3.83297, -22.4548, -3.86803
0.250339, 0.0782751, -330.218, 25.6983, 1.70224, 0.00260363, 2.74007, -21.549, -2.77091
0.277822, 0.0796445, -314.015, 25.1102, 1.12398, 0.00254592, 1.75116, -20.6065, -1.77556
0.307091, 0.0805007, -297.187, 24.478, 0.577401, 0.00248951, 0.8634, -19.619, -0.879311
0.338255, 0.0807841, -279.418, 23.7894, 0.0637108, 0.00243349, 0.0742784, -18.5793, -0.0819374
0.371434, 0.0804244, -260.197, 23.005, -0.416232, 0.00237539, -0.620589, -17.4573, 0.617779
0.405204, 0.07944, -239.768, 22.1808, -0.823191, 0.00231848, -1.15815, -16.3159, 1.16049
0.438386, 0.0779526, -219.938, 21.4221, -1.119, 0.00226745, -1.51032, -15.2638, 1.51665
0.471277, 0.0760606, -202.701, 20.758, -1.33519, 0.00222241, -1.76318, -14.3345, 1.76684
0.503882, 0.0738144, -187.797, 20.1601, -1.51199, 0.00218237, -1.96207, -13.5085, 1.96396
0.536196, 0.0712464, -174.03, 19.5883, -1.66893, 0.00214541, -2.11866, -12.7491, 2.12331
0.568219, 0.0683845, -160.739, 19.0209, -1.81211, 0.00211018, -2.23791, -12.0329, 2.24899
0.599953, 0.0652531, -147.344, 18.4377, -1.94028, 0.00207505, -2.32198, -11.3391, 2.34037
0.631399, 0.0618729, -133.536, 17.8298, -2.04931, 0.00203906, -2.37122, -10.6566, 2.39558
0.662558, 0.0582621, -119.253, 17.1931, -2.13196, 0.00200137, -2.38675, -9.98014, 2.41272
0.693427, 0.0544356, -105.022, 16.5392, -2.18656, 0.0019621, -2.3748, -9.31576, 2.3975
0.724004, 0.0504064, -91.2023, 15.8768, -2.21269, 0.00192152, -2.33894, -8.66996, 2.35463
0.754285, 0.0461852, -78.3353, 15.2156, -2.21757, 0.00187989, -2.28724, -8.04784, 2.29474
0.784336, 0.0417702, -66.3197, 14.5479, -2.20815, 0.0018367, -2.22104, -7.44458, 2.22256
0.814163, 0.0371666, -54.9358, 13.8568, -2.19151, 0.00179059, -2.14079, -6.84837, 2.14062
0.843676, 0.0323926, -43.5845, 13.1194, -2.16965, 0.00173989, -2.04186, -6.24781, 2.04541
0.872827, 0.0274615, -31.8091, 12.2868, -2.13505, 0.00168086, -1.91579, -5.61631, 1.92633
0.901778, 0.0223463, -18.8985, 11.3697, -2.08373, 0.00161314, -1.75944, -4.97043, 1.77999
0.93052, 0.0170501, -5.53605, 10.1682, -1.97389, 0.00152045, -1.54891, -4.19838, 1.57136
0.958904, 0.0116, 10.1627, 9.25559, -1.82976, 0.00144936, -1.31644, -3.65548, 1.35901
0.986522, 0.00544408, 20.5178, 6.04712, -1.81503, 0.00110388, -1.00912, -1.95998, 1.00768
-0.00520226, 0.00508977, -8.34008, 10.1903, 23.6689, 0.0139628, 18.9138, -25.5327, -15.1725
-0.00116887, 0.0146369, -272.468, 20.8558, 25.6021, 0.0119091, 1.57586, -27.1595, 7.18282
0.00626294, 0.022861, -437.492, 28.9652, 23.5723, 0.00992336, -1.44164, -15.415, 8.75153
0.0156648, 0.0299237, -501.689, 33.0171, 20.6003, 0.00851658, 1.84183, -8.04562, 2.40292
0.0264951, 0.0362152, -514.59, 34.4558, 17.6662, 0.00799704, 4.35763, -5.65774, -2.11905
0.0385128, 0.0419299, -507.89, 34.6189, 15.0003, 0.0075913, 5.03597, -4.94039, -3.93075
0.0516371, 0.047195, -493.056, 34.2313, 12.696, 0.00710376, 4.56113, -4.53467, -4.03554
0.0658552, 0.0520884, -474.66, 33.6502, 10.7845, 0.00652893, 3.68125, -4.11979, -3.42897
0.0811839, 0.0566552, -455.691, 33.0576, 9.21836, 0.00594507, 2.82125, -3.71194, -2.6846
0.0976269, 0.0609135, -437.769, 32.5266, 7.91432, 0.00544558, 2.14682, -3.37376, -2.05248
0.11516, 0.0648608, -421.233, 32.0605, 6.795, 0.00505248, 1.66361, -3.12287, -1.58312
0.133871, 0.0685059, -405.585, 31.626, 5.80253, 0.00474396, 1.32268, -2.94472, -1.24803
0.153892, 0.0718536, -390.285, 31.1868, 4.90123, 0.00449236, 1.07242, -2.812, -1.00322
0.175283, 0.0748836, -375.116, 30.7208, 4.07203, 0.00428105, 0.87719, -2.70589, -0.814795
0.198114, 0.0775684, -359.857, 30.2166, 3.30307, 0.00410281, 0.716107, -2.61604, -0.661449
0.222457, 0.0798745, -344.392, 29.6699, 2.58467, 0.00395262, 0.576304, -2.53495, -0.529158
0.248394, 0.0817628, -328.681, 29.0828, 1.90863, 0.00382503, 0.450917, -2.45852, -0.410265
0.276013, 0.0831872, -312.705, 28.4555, 1.26771, 0.00371544, 0.337551, -2.38558, -0.30247
0.305413, 0.0840961, -296.122, 27.7832, 0.664946, 0.00362111, 0.23686, -2.31689, -0.20795
0.336702, 0.0844311, -278.61, 27.0582, 0.105273, 0.00354061, 0.149068, -2.25329, -0.127757
0.37, 0.0841229, -259.663, 26.259, -0.407788, 0.00347507, 0.0740635, -2.20521, -0.0632754
0.403884, 0.0831886, -239.562, 25.4023, -0.830214, 0.00342152, 0.0140898, -2.15744, -0.0163362
0.437172, 0.0817487, -219.991, 24.5586, -1.13345, 0.00337164, -0.0362506, -2.08648, 0.0241257
0.470163, 0.0799024, -202.776, 23.7836, -1.37364, 0.00332147, -0.0873111, -1.99424, 0.0730119
0.502863, 0.0777006, -187.806, 23.0813, -1.59021, 0.00327307, -0.134641, -1.89894, 0.124312
0.535266, 0.0751759, -174.001, 22.4285, -1.78885, 0.00322969, -0.173174, -1.81436, 0.167941
0.567373, 0.0723565, -160.713, 21.802, -1.96598, 0.00319296, -0.201832, -1.74382, 0.199482
0.599187, 0.069267, -147.366, 21.1837, -2.11587, 0.0031636, -0.221311, -1.68933, 0.217962
0.630708, 0.0659281, -133.644, 20.5555, -2.23346, 0.00314121, -0.233565, -1.64772, 0.22572
0.661938, 0.0623585, -119.464, 19.9107, -2.31439, 0.00312482, -0.241867, -1.61604, 0.227034
0.692875, 0.0585728, -105.31, 19.2491, -2.36458, 0.00311253, -0.250102, -1.58739, 0.228727
0.723516, 0.0545843, -91.5305, 18.578, -2.38985, 0.00310272, -0.260294, -1.55845, 0.234699
0.753859, 0.0504037, -78.6455, 17.9037, -2.4037, 0.00309367, -0.273418, -1.52613, 0.24763
0.783969, 0.0460292, -66.5791, 17.2248, -2.41392, 0.00308503, -0.287785, -1.49277, 0.265583
0.813851, 0.0414661, -55.1338, 16.529, -2.42445, 0.00307692, -0.301338, -1.46188, 0.284868
0.843418, 0.0367326, -43.7472, 15.8033, -2.43082, 0.00307013, -0.310336, -1.43977, 0.299736
0.872619, 0.0318419, -31.9881, 15.0059, -2.41856, 0.00306743, -0.317315, -1.43282, 0.308881
0.901619, 0.0267672, -19.1346, 14.1573, -2.37717, 0.00306511, -0.308293, -1.44481, 0.301258
0.930409, 0.0215113, -5.92841, 13.0416, -2.26247, 0.00307277, -0.329732, -1.47873, 0.30627
0.958838, 0.0161017, 9.89136, 12.257, -2.12295, 0.00307854, -0.223606, -1.51153, 0.236235
0.9865, 0.00998645, 19.4117, 9.61758, -1.93521, 0.00286984, -0.417094, -1.73789, 0.278229
