1.001025  0.000732
1.000147  0.002193
0.997511  0.006492
0.993108  0.013389
0.986918  0.022490
0.978901  0.033258
0.968978  0.045028
0.956996  0.057015
0.942685  0.068295
0.925626  0.077718
0.905385  0.083744
0.885215  0.086278
0.864369  0.088700
0.842060  0.091140
0.818373  0.093562
0.793399  0.095928
0.767235  0.098201
0.739982  0.100347
0.711746  0.102329
0.682639  0.104116
0.652774  0.105672
0.622271  0.106969
0.591251  0.107976
0.559839  0.108665
0.528162  0.109010
0.496349  0.108987
0.464529  0.108576
0.432835  0.107757
0.401396  0.106517
0.370344  0.104843
0.339808  0.102731
0.309915  0.100176
0.280792  0.097184
0.252559  0.093762
0.225336  0.089925
0.199235  0.085693
0.174365  0.081092
0.150829  0.076152
0.128722  0.070909
0.108135  0.065403
0.089149  0.059676
0.071841  0.053776
0.056276  0.047747
0.042514  0.041638
0.030607  0.035493
0.020598  0.029357
0.012522  0.023268
0.006409  0.017262
0.002277  0.011368
0.000139  0.005609
0.000000  0.000000
0.001834 -0.005302
0.005608 -0.010144
0.011304 -0.014520
0.018895 -0.018424
0.028346 -0.021847
0.039617 -0.024783
0.052659 -0.027225
0.067418 -0.029167
0.083832 -0.030607
0.101834 -0.031544
0.121352 -0.031980
0.142309 -0.031922
0.164624 -0.031381
0.188211 -0.030372
0.212980 -0.028913
0.238837 -0.027031
0.265687 -0.024752
0.293429 -0.022108
0.321960 -0.019137
0.351175 -0.015875
0.380966 -0.012364
0.411223 -0.008643
0.441832 -0.004755
0.472680 -0.000741
0.503651  0.003359
0.534629  0.007507
0.565494  0.011667
0.596130  0.015807
0.626419  0.019898
0.656243  0.023911
0.685486  0.027825
0.714033  0.031619
0.741772  0.035277
0.768592  0.038783
0.794386  0.042126
0.819051  0.045296
0.842487  0.048284
0.864600  0.051082
0.885298  0.053684
0.903632  0.055971
0.918702  0.055405
0.933621  0.051326
0.947831  0.044524
0.960799  0.036025
0.972155  0.026878
0.981665  0.018039
0.989179  0.010310
0.994603  0.004330
0.997879  0.000556
0.998975 -0.000732
