x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.0009904, 0.00493725, -331.941, 3.34424, 33.6923, 0.00508633, 19.2282, 34.428, -22.0935
0.00309663, 0.0141884, -756.664, 13.6296, 37.4445, 0.0051287, 45.7089, 19.4637, -51.405
0.0105874, 0.0221668, -842.319, 21.0174, 31.1107, 0.00452205, 47.6949, -3.25785, -51.31
0.0200337, 0.0290569, -776.933, 24.45, 22.757, 0.00408065, 40.7191, -16.2699, -42.3374
0.0308839, 0.0352402, -708.984, 25.9007, 16.5424, 0.00384339, 33.8806, -22.8486, -34.5743
0.0429037, 0.0409139, -658.946, 26.7684, 12.7518, 0.00369827, 28.3783, -26.1348, -28.6637
0.0560209, 0.046207, -617.623, 27.4133, 10.492, 0.00357082, 23.8974, -27.4639, -23.9791
0.0702309, 0.051199, -581.689, 27.8214, 9.04457, 0.00344496, 20.2294, -27.6504, -20.2284
0.0855581, 0.0559374, -551.297, 27.9833, 7.99871, 0.00332288, 17.2114, -27.2561, -17.1967
0.10204, 0.0604484, -525.864, 27.9541, 7.14074, 0.00320828, 14.6941, -26.6126, -14.6907
0.119706, 0.0647405, -503.892, 27.7782, 6.36956, 0.00310385, 12.565, -25.8748, -12.5736
0.138549, 0.0688055, -484.225, 27.5035, 5.64937, 0.00301094, 10.7402, -25.1196, -10.7566
0.158658, 0.0726472, -465.957, 27.1636, 4.96967, 0.00292833, 9.15305, -24.3674, -9.17341
0.180171, 0.0762697, -448.605, 26.7863, 4.32853, 0.00285405, 7.75275, -23.6187, -7.77433
0.203161, 0.0796561, -431.878, 26.3888, 3.7296, 0.00278638, 6.50903, -22.8696, -6.53137
0.227706, 0.0827846, -415.853, 25.983, 3.17098, 0.00272425, 5.39573, -22.1223, -5.41838
0.253893, 0.08563, -400.382, 25.5727, 2.64888, 0.00266714, 4.39629, -21.3783, -4.41735
0.281816, 0.0881638, -385.46, 25.161, 2.15746, 0.00261486, 3.49519, -20.6414, -3.51194
0.311581, 0.0903534, -370.715, 24.7399, 1.69389, 0.00256687, 2.68137, -19.9061, -2.69307
0.343299, 0.0921627, -355.94, 24.3086, 1.25875, 0.00252291, 1.9488, -19.1701, -1.95638
0.377091, 0.0935518, -340.884, 23.86, 0.854929, 0.00248238, 1.29046, -18.4278, -1.29788
0.411515, 0.0944574, -326.48, 23.4292, 0.495813, 0.00244704, 0.72174, -17.7236, -0.731558
0.445368, 0.0948756, -313.435, 23.0342, 0.186157, 0.00241722, 0.244827, -17.0831, -0.257227
0.478942, 0.0948651, -301.784, 22.6735, -0.0886046, 0.00239217, -0.166731, -16.5016, 0.152787
0.512234, 0.0944655, -291.473, 22.3499, -0.338365, 0.00237176, -0.524982, -15.979, 0.512822
0.545248, 0.0937105, -282.096, 22.0534, -0.570417, 0.00235515, -0.841916, -15.5048, 0.833954
0.577988, 0.0926277, -273.105, 21.7728, -0.788772, 0.00234144, -1.12331, -15.0645, 1.12122
0.610455, 0.0912414, -263.974, 21.4963, -0.991355, 0.00232969, -1.37231, -14.6457, 1.37469
0.642649, 0.0895724, -254.78, 21.2294, -1.17749, 0.00231968, -1.59397, -14.2476, 1.59813
0.674571, 0.0876383, -245.701, 20.9763, -1.34482, 0.00231142, -1.79244, -13.8735, 1.79412
0.70622, 0.0854529, -237.495, 20.7505, -1.49626, 0.00230567, -1.97654, -13.5363, 1.97238
0.737594, 0.0830281, -230.646, 20.5658, -1.6354, 0.00230394, -2.15359, -13.2526, 2.14154
0.768681, 0.0803753, -225.798, 20.4479, -1.77096, 0.00230813, -2.33551, -13.045, 2.31577
0.799456, 0.0775047, -223.249, 20.4079, -1.91361, 0.00231958, -2.5361, -12.9252, 2.5104
0.829957, 0.0744194, -223.272, 20.5314, -2.06951, 0.00234266, -2.7665, -12.956, 2.73856
0.860244, 0.0711183, -227.737, 20.6978, -2.29286, 0.00237912, -3.12657, -13.1123, 3.09375
0.890182, 0.0675996, -239.868, 22.2658, -2.5027, 0.00248536, -3.53266, -14.2037, 3.53417
0.91942, 0.0615825, -277.457, 20.3862, -4.13937, 0.0023983, -6.53093, -12.7297, 6.24518
0.946616, 0.0500707, -234.772, 8.94408, -3.85022, 0.00144466, -3.9335, -3.86231, 3.88402
0.970657, 0.0332772, -173.027, -5.12251, 2.32074, 0.000509638, 0.415218, 0.0148356, -0.279005
0.990962, 0.012904, -143.913, -5.09896, 3.03042, 0.00110621, 2.40939, 0.0956262, -2.19248
-0.00521183, 0.00518572, -176.279, 10.2553, 28.5012, 0.0138141, 20.3055, -29.2446, -14.9542
-0.00115206, 0.0149094, -467.46, 22.6151, 29.3746, 0.0116628, 2.54439, -28.7246, 7.76235
0.00638134, 0.0233104, -622.128, 31.115, 26.5134, 0.00968732, 1.11794, -15.3248, 6.63948
0.0159226, 0.0305726, -665.443, 34.7535, 22.7876, 0.00911954, 5.49002, -8.52735, -1.12437
0.026905, 0.0370798, -659.355, 35.5931, 19.2218, 0.00876078, 8.22525, -6.41006, -6.28847
0.0390822, 0.043033, -636.242, 35.2309, 16.09, 0.00830796, 8.27381, -5.89782, -7.58587
0.0523728, 0.0485655, -606.927, 34.4324, 13.4985, 0.00772454, 6.9471, -5.51432, -6.7829
0.0667651, 0.0537619, -576.466, 33.5511, 11.4504, 0.00711974, 5.37918, -5.04761, -5.39178
0.0822782, 0.0586741, -548.195, 32.7674, 9.84665, 0.00654459, 4.03612, -4.56353, -4.08009
0.0989462, 0.0633329, -523.388, 32.123, 8.5525, 0.00601809, 3.01919, -4.11018, -3.0456
0.116795, 0.0677509, -501.614, 31.5947, 7.46809, 0.00556164, 2.30295, -3.73317, -2.3046
0.135815, 0.0719236, -482.084, 31.1339, 6.52818, 0.00518253, 1.80827, -3.43781, -1.79146
0.156095, 0.075858, -463.996, 30.698, 5.69185, 0.00487161, 1.45821, -3.20949, -1.43117
0.177773, 0.0795612, -446.853, 30.2583, 4.93186, 0.00461342, 1.19588, -3.02457, -1.16475
0.20092, 0.0830187, -430.338, 29.8044, 4.23667, 0.00439473, 0.987282, -2.86617, -0.955932
0.225616, 0.0862111, -414.477, 29.3362, 3.59288, 0.00420598, 0.812257, -2.72315, -0.781935
0.251946, 0.0891149, -399.141, 28.8575, 2.99222, 0.00404157, 0.661921, -2.59134, -0.632698
0.280007, 0.0917033, -384.342, 28.3711, 2.42731, 0.00389769, 0.531436, -2.4681, -0.50312
0.309901, 0.093945, -369.742, 27.8763, 1.89962, 0.00377249, 0.42009, -2.35538, -0.393917
