x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00140882, 0.00494422, -218.871, 2.27136, 31.5371, 0.00495274, 14.5489, 32.8016, -16.427
0.00188511, 0.0144231, -642.289, 12.1155, 36.9444, 0.00521914, 41.8179, 23.793, -46.5733
0.00866774, 0.022903, -748.267, 20.0233, 32.9381, 0.00480076, 49.0384, 3.11395, -52.4149
0.0174794, 0.0304279, -711.519, 24.2805, 26.29, 0.00434288, 44.7174, -10.723, -46.5148
0.0277553, 0.0373343, -668.357, 26.4902, 20.7739, 0.00408932, 39.3101, -18.7179, -40.344
0.0392533, 0.0437872, -637.929, 27.9103, 16.9716, 0.00395967, 34.6725, -23.6583, -35.3099
0.0518947, 0.0498949, -612.03, 28.9576, 14.3991, 0.0038533, 30.5113, -26.6192, -30.9002
0.0656699, 0.0557206, -588.302, 29.7033, 12.5677, 0.0037349, 26.6941, -28.1729, -26.9394
0.0805993, 0.0612968, -567.719, 30.1815, 11.1543, 0.00360871, 23.2585, -28.8436, -23.4342
0.0966654, 0.0666176, -550.362, 30.4364, 9.96074, 0.00348919, 20.2282, -29.0551, -20.3737
0.113869, 0.0716682, -535.043, 30.5073, 8.87616, 0.00338464, 17.5606, -29.0507, -17.6914
0.132325, 0.0764533, -520.524, 30.432, 7.84654, 0.00329408, 15.1662, -28.9181, -15.2873
0.152145, 0.0809596, -506.207, 30.2459, 6.8522, 0.00321311, 12.9667, -28.6712, -13.0797
0.173391, 0.0851476, -491.789, 29.9736, 5.88775, 0.00313787, 10.9142, -28.3025, -11.0197
0.196133, 0.0889685, -476.926, 29.6276, 4.9513, 0.00306623, 8.98399, -27.8057, -9.08146
0.220445, 0.0923655, -461.302, 29.2122, 4.04242, 0.00299735, 7.16509, -27.1806, -7.25407
0.246406, 0.0952727, -444.661, 28.7243, 3.16008, 0.00293055, 5.45035, -26.4259, -5.53074
0.274103, 0.0976144, -426.689, 28.1564, 2.30426, 0.00286476, 3.83903, -25.534, -3.91041
0.303631, 0.0993037, -407.084, 27.4916, 1.4741, 0.00279836, 2.33107, -24.4896, -2.39322
0.335093, 0.100243, -385.318, 26.7131, 0.674944, 0.00272999, 0.944015, -23.2792, -0.99534
0.368608, 0.100316, -360.974, 25.7608, -0.0953277, 0.00265593, -0.321055, -21.8559, 0.280182
0.402728, 0.0995075, -333.559, 24.6818, -0.772167, 0.00257941, -1.32445, -20.2852, 1.30211
0.436237, 0.0979839, -305.338, 23.686, -1.26028, 0.00251099, -1.94944, -18.803, 1.94978
0.469443, 0.0959153, -281.24, 22.8507, -1.60462, 0.00245195, -2.37709, -17.5183, 2.38229
0.502358, 0.0933705, -260.591, 22.1037, -1.87959, 0.00239919, -2.7126, -16.3808, 2.71614
0.534965, 0.0903838, -240.923, 21.3721, -2.11502, 0.00234955, -2.96953, -15.3207, 2.97391
0.567263, 0.0869879, -221.797, 20.6351, -2.31681, 0.00230129, -3.15971, -14.3119, 3.16526
0.599252, 0.0832104, -203.321, 19.8918, -2.48806, 0.00225376, -3.29386, -13.3476, 3.30016
0.630931, 0.0790753, -185.356, 19.1388, -2.63097, 0.00220627, -3.37745, -12.4198, 3.38461
0.662299, 0.0746036, -167.735, 18.3699, -2.74671, 0.00215788, -3.4145, -11.5196, 3.42264
0.693354, 0.0698147, -150.339, 17.5795, -2.83533, 0.00210778, -3.40752, -10.641, 3.4168
0.72409, 0.0647245, -133.115, 16.7578, -2.89722, 0.00205492, -3.35997, -9.7762, 3.37022
0.754498, 0.0593491, -115.924, 15.8986, -2.93036, 0.0019985, -3.27035, -8.92194, 3.28193
0.784638, 0.0536888, -98.743, 14.9895, -2.93348, 0.0019371, -3.14074, -8.07107, 3.15347
0.814532, 0.0477462, -81.4734, 14.0135, -2.90323, 0.00186904, -2.96903, -7.21583, 2.98291
0.844096, 0.0415454, -64.0747, 12.9656, -2.83563, 0.00179314, -2.75398, -6.35924, 2.76937
0.873252, 0.035113, -46.7407, 11.8156, -2.72109, 0.00170634, -2.49235, -5.48934, 2.50828
0.90218, 0.0284119, -29.1587, 10.6008, -2.56584, 0.00160912, -2.19304, -4.63954, 2.21182
0.930873, 0.0214473, -12.4312, 9.07653, -2.31403, 0.00148164, -1.82077, -3.68218, 1.83373
0.959169, 0.0142603, 6.06168, 8.02005, -2.09533, 0.00138339, -1.48726, -3.05287, 1.52408
0.98663, 0.00632964, 16.448, 4.34581, -1.75954, 0.000979538, -0.896397, -1.31299, 0.895179
-0.00562989, 0.00519267, -102.245, 8.61642, 27.25, 0.0140739, 22.546, -25.5507, -18.8233
-0.00236257, 0.0151439, -380.996, 20.3982, 29.4323, 0.0120503, 4.57027, -28.3238, 4.41526
0.00446306, 0.0240461, -536.79, 29.1277, 27.3412, 0.0101253, 0.445031, -16.1813, 7.08225
0.0133699, 0.0319428, -590.84, 33.5074, 24.4155, 0.00874607, 2.94659, -8.24559, 1.53336
0.0237781, 0.0391728, -602.423, 35.299, 21.5358, 0.00829046, 5.13366, -5.54845, -2.59595
0.0354335, 0.045905, -599.323, 35.8542, 18.8336, 0.0079471, 5.76824, -4.73487, -4.35692
0.0482484, 0.0522519, -588.244, 35.8247, 16.409, 0.00747475, 5.31209, -4.37919, -4.5245
0.062206, 0.0582816, -572.779, 35.5428, 14.3273, 0.00689574, 4.40926, -4.07794, -3.94889
0.0773214, 0.0640313, -556.513, 35.2048, 12.5663, 0.00629712, 3.47689, -3.77608, -3.17606
0.0935732, 0.0694997, -541.354, 34.9015, 11.0553, 0.00577129, 2.71469, -3.51133, -2.48677
0.11096, 0.0746759, -527.342, 34.6409, 9.72274, 0.00535755, 2.15695, -3.31348, -1.96278
0.129594, 0.0795684, -513.799, 34.3927, 8.51067, 0.0050389, 1.75498, -3.17546, -1.57955
0.149585, 0.0841673, -500.286, 34.1253, 7.38066, 0.00478542, 1.45228, -3.07651, -1.29126
0.170996, 0.0884357, -486.564, 33.8164, 6.30951, 0.00457505, 1.20986, -2.9999, -1.06252
0.193896, 0.0923276, -472.331, 33.4501, 5.28315, 0.00439713, 1.005, -2.93653, -0.8714
0.218358, 0.0957883, -457.287, 33.0165, 4.29411, 0.00424799, 0.824693, -2.8824, -0.704774
0.244462, 0.0987539, -441.175, 32.5084, 3.33778, 0.00412452, 0.661149, -2.83554, -0.554691
0.272296, 0.10115, -423.695, 31.9191, 2.41306, 0.00402205, 0.509957, -2.79322, -0.416723
0.301954, 0.102892, -404.556, 31.2373, 1.51917, 0.00393706, 0.368523, -2.75636, -0.288823
0.333541, 0.103882, -383.255, 30.4517, 0.663492, 0.0038675, 0.237149, -2.72511, -0.171448
0.367175, 0.104007, -359.391, 29.5302, -0.154116, 0.00381505, 0.117198, -2.71804, -0.0679782
0.401408, 0.103248, -332.634, 28.4682, -0.851472, 0.00377651, 0.0188335, -2.71948, 0.00650983
0.435023, 0.101772, -305.086, 27.375, -1.33387, 0.00373727, -0.0580799, -2.66389, 0.0600812
0.468329, 0.0997496, -281.169, 26.3766, -1.69296, 0.00369054, -0.135417, -2.55026, 0.125405
0.501338, 0.0972492, -260.508, 25.4806, -2.00616, 0.00364147, -0.206027, -2.42462, 0.193889
0.534035, 0.094306, -240.88, 24.6368, -2.28063, 0.00359658, -0.262108, -2.31336, 0.250135
0.566417, 0.0909528, -221.808, 23.8203, -2.51574, 0.00355859, -0.307939, -2.22002, 0.295339
0.598486, 0.0872175, -203.377, 23.0205, -2.71625, 0.00352738, -0.347078, -2.14115, 0.333362
0.63024, 0.083124, -185.458, 22.2267, -2.88508, 0.00350194, -0.380695, -2.07382, 0.365661
