x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00140882, 0.00494422, -219.213, 2.26967, 31.5456, 0.00495339, 14.5502, 32.8148, -16.4297
0.00188511, 0.0144231, -642.666, 12.1159, 36.9514, 0.00521975, 41.8278, 23.8017, -46.5848
0.00866774, 0.022903, -748.575, 20.0243, 32.9418, 0.00480115, 49.0474, 3.11612, -52.4244
0.0174794, 0.0304279, -711.761, 24.2813, 26.2912, 0.00434323, 44.7245, -10.7239, -46.5221
0.0277553, 0.0373343, -668.564, 26.4908, 20.7738, 0.00408969, 39.3161, -18.7205, -40.3499
0.0392533, 0.0437872, -638.111, 27.9109, 16.9711, 0.00396005, 34.6775, -23.6618, -35.3148
0.0518947, 0.0498949, -612.19, 28.9583, 14.3985, 0.00385364, 30.5152, -26.623, -30.9039
0.0656699, 0.0557206, -588.444, 29.704, 12.5673, 0.0037352, 26.6972, -28.1764, -26.9424
0.0805993, 0.0612968, -567.847, 30.1822, 11.1541, 0.00360897, 23.2608, -28.8467, -23.4365
0.0966654, 0.0666176, -550.48, 30.4371, 9.96062, 0.00348943, 20.2301, -29.058, -20.3756
0.113869, 0.0716682, -535.152, 30.508, 8.87611, 0.00338487, 17.5623, -29.0535, -17.693
0.132325, 0.0764533, -520.625, 30.4326, 7.84652, 0.0032943, 15.1676, -28.9208, -15.2886
0.152145, 0.0809596, -506.302, 30.2465, 6.85219, 0.00321332, 12.9678, -28.6738, -13.0808
0.173391, 0.0851476, -491.878, 29.9742, 5.88776, 0.00313806, 10.9151, -28.3049, -11.0205
0.196133, 0.0889685, -477.009, 29.6282, 4.9513, 0.0030664, 8.98468, -27.8079, -9.08213
0.220445, 0.0923655, -461.38, 29.2127, 4.04242, 0.00299752, 7.16564, -27.1827, -7.25461
0.246406, 0.0952727, -444.734, 28.7248, 3.16008, 0.00293071, 5.45074, -26.4279, -5.53113
0.274103, 0.0976144, -426.757, 28.157, 2.30425, 0.00286491, 3.8393, -25.5359, -3.91067
0.303631, 0.0993037, -407.147, 27.4922, 1.47408, 0.00279851, 2.33124, -24.4915, -2.39338
0.335093, 0.100243, -385.377, 26.7137, 0.674916, 0.00273013, 0.944072, -23.2809, -0.995392
0.368608, 0.100316, -361.029, 25.7614, -0.0953674, 0.00265606, -0.32109, -21.8575, 0.280221
0.402728, 0.0995075, -333.609, 24.6824, -0.772217, 0.00257954, -1.32456, -20.2867, 1.30222
0.436237, 0.0979839, -305.385, 23.6865, -1.26034, 0.00251112, -1.94959, -18.8044, 1.94993
0.469443, 0.0959153, -281.283, 22.8512, -1.60468, 0.00245207, -2.37727, -17.5196, 2.38248
0.502358, 0.0933705, -260.631, 22.1043, -1.87965, 0.00239931, -2.71281, -16.3821, 2.71635
0.534965, 0.0903838, -240.96, 21.3726, -2.11509, 0.00234967, -2.96976, -15.3219, 2.97415
0.567263, 0.0869879, -221.831, 20.6357, -2.31689, 0.00230141, -3.15997, -14.3131, 3.16552
0.599252, 0.0832104, -203.352, 19.8923, -2.48814, 0.00225388, -3.29412, -13.3486, 3.30043
0.630931, 0.0790753, -185.385, 19.1394, -2.63106, 0.00220638, -3.37773, -12.4208, 3.38489
0.662299, 0.0746036, -167.761, 18.3704, -2.7468, 0.00215799, -3.41477, -11.5205, 3.42292
0.693354, 0.0698147, -150.362, 17.58, -2.83543, 0.00210789, -3.4078, -10.6418, 3.41708
0.72409, 0.0647245, -133.135, 16.7583, -2.89731, 0.00205502, -3.36023, -9.77697, 3.37048
0.754498, 0.0593491, -115.942, 15.899, -2.93045, 0.0019986, -3.2706, -8.92262, 3.28219
0.784638, 0.0536888, -98.7586, 14.9899, -2.93357, 0.0019372, -3.14099, -8.07172, 3.15372
0.814532, 0.0477462, -81.4863, 14.0138, -2.90331, 0.00186913, -2.96924, -7.21636, 2.98313
0.844096, 0.0415454, -64.085, 12.9659, -2.8357, 0.00179323, -2.75419, -6.35973, 2.76958
0.873252, 0.035113, -46.7485, 11.8158, -2.72114, 0.00170642, -2.49251, -5.4897, 2.50844
0.90218, 0.0284119, -29.1639, 10.6009, -2.56588, 0.0016092, -2.19318, -4.63985, 2.21196
0.930873, 0.0214473, -12.4342, 9.07656, -2.31404, 0.00148171, -1.82087, -3.68238, 1.83383
0.959169, 0.0142603, 6.06112, 8.02005, -2.09534, 0.00138345, -1.48733, -3.05302, 1.52415
