x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00140882, 0.00494422, -176.428, 2.47795, 30.4528, 0.00487354, 14.3778, 31.1655, -16.0882
0.00188511, 0.0144231, -596.121, 12.0432, 36.0638, 0.00514296, 40.5559, 22.7277, -45.1348
0.00866774, 0.022903, -711.298, 19.8797, 32.4832, 0.0047521, 47.8965, 2.86439, -51.2214
0.0174794, 0.0304279, -682.786, 24.1683, 26.1504, 0.00430369, 43.8617, -10.6024, -45.651
0.0277553, 0.0373343, -643.992, 26.4051, 20.7905, 0.00404404, 38.5692, -18.3822, -39.6057
0.0392533, 0.0437872, -616.62, 27.8271, 17.0385, 0.00391172, 34.0392, -23.2021, -34.6873
0.0518947, 0.0498949, -593.447, 28.8661, 14.465, 0.00380823, 29.9994, -26.1342, -30.4027
0.0656699, 0.0557206, -571.948, 29.6037, 12.6137, 0.00369484, 26.2894, -27.71, -26.5477
0.0805993, 0.0612968, -553.019, 30.0769, 11.1787, 0.00357376, 22.9381, -28.4189, -23.1234
0.0966654, 0.0666176, -536.925, 30.3295, 9.9691, 0.00345702, 19.9626, -28.6538, -20.1146
0.113869, 0.0716682, -522.666, 30.3993, 8.87498, 0.00335314, 17.3303, -28.6544, -17.4655
0.132325, 0.0764533, -509.087, 30.3229, 7.8406, 0.00326299, 14.9661, -28.5237, -15.0902
0.152145, 0.0809596, -495.604, 30.1352, 6.84428, 0.00318319, 12.7975, -28.2853, -12.9127
0.173391, 0.0851476, -481.926, 29.8605, 5.87935, 0.00310978, 10.7756, -27.9314, -10.8826
0.196133, 0.0889685, -467.725, 29.5115, 4.94324, 0.00303986, 8.8728, -27.4493, -8.97138
0.220445, 0.0923655, -452.715, 29.0924, 4.03527, 0.00297211, 7.07737, -26.8343, -7.16715
0.246406, 0.0952727, -436.648, 28.6, 3.15432, 0.00290593, 5.38347, -26.0859, -5.46443
0.274103, 0.0976144, -419.221, 28.0272, 2.3003, 0.00284061, 3.79173, -25.2001, -3.86349
0.303631, 0.0993037, -400.137, 27.3575, 1.47242, 0.00277466, 2.30258, -24.1629, -2.36498
0.335093, 0.100243, -378.891, 26.5745, 0.675956, 0.00270666, 0.933398, -22.9611, -0.98488
0.368608, 0.100316, -355.07, 25.6186, -0.0911385, 0.00263288, -0.314544, -21.5483, 0.273568
0.402728, 0.0995075, -328.204, 24.5374, -0.76478, 0.00255657, -1.30352, -19.9904, 1.28102
0.436237, 0.0979839, -300.531, 23.5399, -1.25043, 0.00248831, -1.9188, -18.5211, 1.91884
0.469443, 0.0959153, -276.891, 22.7023, -1.59275, 0.0024294, -2.33908, -17.2474, 2.34403
0.502358, 0.0933705, -256.643, 21.9532, -1.86577, 0.00237675, -2.66828, -16.1198, 2.67167
