x,y,p,Ux,Uy,Rx,Ry,Rxy,viscosity
1.000151,0.000503,43.996327095896994,17.334024022300795,-3.564737874888517,2.810436214219821,0.0038095205768016887,8.582893298804072,-2.7649683455817664
0.999181,0.000854,45.85545150418791,17.227416642145705,-3.649314738397274,2.7908450257046815,0.0037867792680758563,8.497926049365939,-2.7730152195762927
0.996273,0.001902,49.018706564967005,16.700188659098853,-3.8417530303286695,2.669096818933117,0.003646445497615102,8.068168333575661,-2.7213830972042468
0.991438,0.003635,22.68643284981534,13.045238999567012,-3.363951551598059,1.615290536586758,0.00248402660495658,5.029457513991077,-1.622065547752595
0.984694,0.006028,-6.981560921198961,8.504015945097736,-2.7457548218594945,0.24880585234861619,0.0012837060112360853,1.4422546695104477,-0.21896763207025105
0.976063,0.009051,13.85694812813317,11.764780978145348,-3.063600359014654,0.9895020933462819,0.0025768199987498464,2.6872012299230423,-1.0750989707695942
0.965577,0.012664,-3.164438448936064,11.139359629149409,-3.0441759349519346,0.07732397908737021,0.002091443094886709,1.069575288731888,-0.1000001362697398
0.953273,0.016821,-24.43668713799342,9.475633657726478,-2.873086173710581,-1.1060475912053098,0.0015056865913424225,-1.0652915922736226,1.1459358527676007
0.939195,0.021468,-34.85726353907429,10.024041918794836,-3.002008851489484,-1.3260831494299423,0.0015611746553270845,-1.4308272154772754,1.3559217370390981
0.923394,0.026546,-47.37623517090046,10.237932507434017,-3.067413602256045,-1.773076940201597,0.0015924091631851162,-2.2364887632608967,1.7965457617470606
0.905927,0.031989,-59.26738871914305,11.238444080996885,-3.2673255531736594,-2.0861093284095755,0.00167984898481405,-2.8618874437998554,2.1127601530312385
0.886858,0.037731,-74.61089706836623,11.848179010903017,-3.3696805729222303,-2.516868844759433,0.0017364983045022792,-3.757889122630738,2.542355610028352
0.866257,0.043698,-90.50779259715151,12.610975422466334,-3.4747163971266057,-2.902421364678968,0.0018018099302303087,-4.621915212428618,2.9259569043357088
0.844201,0.049817,-107.08380812322754,13.489522554870534,-3.571048522437868,-3.254550255676351,0.0018721162145702388,-5.503247235579818,3.2766964356362327
0.820773,0.056013,-124.98793483887016,14.4949162565322,-3.641510395034731,-3.5276535000256155,0.001947811255047658,-6.398357278245127,3.5474388930501624
0.796059,0.062211,-144.16974394504203,15.386259503268263,-3.66333000615817,-3.8125001082197603,0.002013690508669575,-7.408015201912649,3.8296126554644436
