x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
0.000209218, 0.00427919, -849.04, 8.78248, 35.5096, 0.005201, 40.3669, 29.9149, -51.7172
0.00644045, 0.012066, -924.204, 18.1723, 30.1385, 0.00450802, 46.0863, -1.71196, -49.9586
0.0151127, 0.0188422, -620.814, 21.2948, 19.4654, 0.00388326, 35.4555, -12.0735, -35.0804
0.0247841, 0.0252691, -543.318, 22.5391, 15.4935, 0.00363679, 30.7795, -15.1215, -30.9152
0.0354619, 0.0316471, -547.476, 24.0403, 14.351, 0.00358328, 28.6134, -17.3139, -28.9274
0.0470406, 0.0379925, -543.529, 25.2328, 13.588, 0.0035563, 26.8359, -18.8548, -26.9943
0.0594963, 0.0443143, -534.153, 26.0589, 12.9574, 0.00351304, 25.1361, -19.9011, -25.2298
0.0729408, 0.0506594, -529.698, 26.746, 12.4437, 0.00346369, 23.5978, -20.791, -23.7038
0.0874741, 0.0570421, -530.261, 27.3973, 11.9611, 0.00341866, 22.2318, -21.6895, -22.3573
0.103158, 0.0634417, -533.238, 28.0169, 11.4481, 0.00337884, 20.9612, -22.6182, -21.0987
0.120054, 0.0698243, -537.18, 28.5955, 10.8808, 0.00334215, 19.7046, -23.5604, -19.8507
0.138145, 0.0761166, -541.617, 29.1298, 10.252, 0.00330758, 18.4094, -24.4987, -18.5629
0.157499, 0.0822622, -546.071, 29.609, 9.55264, 0.00327423, 17.0312, -25.4133, -17.1922
0.178294, 0.0882266, -549.718, 30.0261, 8.7794, 0.00324128, 15.544, -26.2667, -15.7092
0.200631, 0.0939311, -552.162, 30.3367, 7.92115, 0.00320765, 13.9193, -27.0152, -14.0873
0.224593, 0.0992737, -552.852, 30.5169, 6.9729, 0.00317379, 12.1423, -27.628, -12.3124
0.25027, 0.104134, -550.969, 30.548, 5.9348, 0.0031385, 10.2046, -28.0507, -10.3747
0.277755, 0.108373, -545.54, 30.4033, 4.81159, 0.00309905, 8.11118, -28.2061, -8.2778
0.307148, 0.111829, -535.487, 30.0404, 3.61265, 0.00305182, 5.88723, -27.9984, -6.04575
0.338548, 0.114316, -519.404, 29.4024, 2.35584, 0.00299281, 3.5936, -27.3285, -3.73732
0.372062, 0.115609, -495.488, 28.3055, 1.04052, 0.00291127, 1.2722, -25.9795, -1.39691
0.406209, 0.11564, -459.915, 26.8807, -0.1206, 0.0028158, -0.554125, -24.044, 0.483284
0.439758, 0.114694, -421.288, 25.6557, -0.893952, 0.00273333, -1.60027, -22.1798, 1.58565
0.47301, 0.113054, -392.635, 24.7638, -1.41137, 0.00266674, -2.33925, -20.6712, 2.33049
0.505961, 0.110789, -369.761, 24.0126, -1.83347, 0.00260937, -2.95441, -19.3741, 2.94236
0.538595, 0.10792, -347.33, 23.2471, -2.21314, 0.00255445, -3.46119, -18.135, 3.45154
0.570902, 0.104474, -324.871, 22.438, -2.55393, 0.00249962, -3.86846, -16.9176, 3.86188
0.602878, 0.100476, -302.845, 21.5949, -2.85524, 0.00244461, -4.18554, -15.7249, 4.18146
0.634515, 0.0959479, -281.121, 20.7173, -3.11744, 0.00238854, -4.41687, -14.5513, 4.41552
0.665808, 0.0909127, -259.414, 19.7995, -3.33878, 0.00233021, -4.5627, -13.3894, 4.56466
0.696749, 0.085392, -237.645, 18.8377, -3.51655, 0.00226855, -4.62445, -12.2367, 4.62993
0.727329, 0.0794071, -215.825, 17.8265, -3.64841, 0.00220255, -4.60473, -11.0928, 4.61365
0.757582, 0.072969, -193.896, 16.7612, -3.73088, 0.00213125, -4.50365, -9.95903, 4.51624
0.787528, 0.0660891, -171.932, 15.6319, -3.76148, 0.0020532, -4.32555, -8.83411, 4.34133
0.817123, 0.0587918, -149.932, 14.4332, -3.73475, 0.00196732, -4.06944, -7.72298, 4.08856
0.846317, 0.0511075, -128.089, 13.1671, -3.64757, 0.00187257, -3.74267, -6.63598, 3.76472
0.875109, 0.0430546, -106.657, 11.8166, -3.49148, 0.00176663, -3.34714, -5.57162, 3.371
0.903601, 0.0346164, -85.6026, 10.4297, -3.27815, 0.00165059, -2.90685, -4.56913, 2.93375
0.931773, 0.025812, -66.0914, 8.82867, -2.95593, 0.00151011, -2.39151, -3.53865, 2.41328
0.959527, 0.0166865, -46.0343, 7.71944, -2.69961, 0.0013992, -1.97567, -2.85421, 2.0172
