x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.000101586, 0.00462025, -979.002, 2.75101, 42.7552, 0.00554322, 30.5624, 43.2293, -39.8316
0.00587354, 0.0126987, -1283.6, 14.1358, 31.7175, 0.00443452, 44.3778, 4.36956, -51.0827
0.0150181, 0.0191452, -1024.16, 17.307, 13.9517, 0.00353944, 29.4978, -13.0649, -29.5073
0.0254958, 0.0247569, -855.264, 17.5008, 5.98969, 0.00369632, 24.5495, -20.2672, -23.465
0.0369941, 0.0299151, -750.977, 18.3694, 4.60846, 0.0027235, 15.2516, -16.6167, -14.6186
0.0495286, 0.0348306, -671.902, 18.9253, 4.61498, 0.00362541, 17.5772, -22.4978, -16.8966
0.0630035, 0.0395544, -615.394, 19.4494, 4.96262, 0.00380211, 16.519, -23.631, -16.0848
0.0774278, 0.0441333, -575.841, 19.8797, 5.10396, 0.00377356, 14.9405, -23.4806, -14.6901
0.0929172, 0.0486225, -545.197, 20.223, 5.04392, 0.0035685, 12.9751, -22.2966, -12.8367
0.109535, 0.0530397, -519.048, 20.4678, 4.84673, 0.00329497, 11.0286, -20.6907, -10.9468
0.127339, 0.0573914, -496.001, 20.6385, 4.5842, 0.00305448, 9.4162, -19.2801, -9.36476
0.146391, 0.0616765, -475.552, 20.7618, 4.29736, 0.0028756, 8.1604, -18.2445, -8.1269
0.166755, 0.0658875, -457.212, 20.8512, 4.00256, 0.00274927, 7.16913, -17.5266, -7.14715
0.188496, 0.0700123, -440.481, 20.9116, 3.70601, 0.00265841, 6.3507, -17.0151, -6.33641
0.211648, 0.0740297, -425.055, 20.9468, 3.41047, 0.00258944, 5.64137, -16.6225, -5.63291
0.236317, 0.0779247, -410.649, 20.9577, 3.11526, 0.00253366, 5.0013, -16.2915, -4.99748
0.262652, 0.0816846, -396.962, 20.945, 2.82029, 0.0024865, 4.40978, -15.9895, -4.40943
0.290751, 0.0852814, -383.872, 20.9102, 2.5257, 0.0024457, 3.85426, -15.7008, -3.85683
0.320721, 0.088683, -371.224, 20.8536, 2.23144, 0.00241014, 3.32798, -15.4165, -3.33286
0.352677, 0.0918524, -358.899, 20.7757, 1.93746, 0.00237919, 2.82611, -15.131, -2.83285
0.386728, 0.0947465, -346.797, 20.6755, 1.64414, 0.00235256, 2.34594, -14.8407, -2.35413
0.42142, 0.0972263, -335.363, 20.5644, 1.36326, 0.00233068, 1.90364, -14.5575, -1.91265
