x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.000101586, 0.00462025, -980.539, 2.73988, 42.7716, 0.00554327, 30.5512, 43.261, -39.8256
0.00587354, 0.0126987, -1284.45, 14.1264, 31.7036, 0.00443362, 44.3556, 4.38251, -51.0557
0.0150181, 0.0191452, -1024.64, 17.2876, 13.9192, 0.0035375, 29.4578, -13.0456, -29.4605
0.0254958, 0.0247569, -855.667, 17.4741, 5.96159, 0.00370569, 24.5842, -20.3012, -23.4933
0.0369941, 0.0299151, -751.239, 18.343, 4.59188, 0.00272025, 15.2154, -16.5812, -14.5823
0.0495286, 0.0348306, -672.052, 18.8973, 4.60247, 0.00363134, 17.5834, -22.5099, -16.9007
0.0630035, 0.0395544, -615.495, 19.4224, 4.95346, 0.00380507, 16.5114, -23.6228, -16.0767
0.0774278, 0.0441333, -575.911, 19.8527, 5.09533, 0.00377699, 14.9359, -23.4749, -14.6848
0.0929172, 0.0486225, -545.232, 20.1957, 5.03549, 0.00357366, 12.9781, -22.303, -12.839
0.109535, 0.0530397, -519.048, 20.4401, 4.83887, 0.0033002, 11.0327, -20.6992, -10.9506
0.127339, 0.0573914, -495.974, 20.6107, 4.57712, 0.00305813, 9.41609, -19.2804, -9.36451
0.146391, 0.0616765, -475.502, 20.7341, 4.291, 0.00287746, 8.15586, -18.2346, -8.12233
0.166755, 0.0658875, -457.142, 20.8236, 3.99678, 0.00274976, 7.16179, -17.5088, -7.13981
0.188496, 0.0700123, -440.394, 20.8842, 3.70072, 0.00265804, 6.34218, -16.9924, -6.32788
0.211648, 0.0740297, -424.951, 20.9194, 3.40559, 0.00258858, 5.63268, -16.597, -5.62419
0.236317, 0.0779247, -410.528, 20.9302, 3.11078, 0.00253253, 4.99297, -16.2644, -4.98912
0.262652, 0.0816846, -396.826, 20.9174, 2.8162, 0.00248521, 4.40208, -15.9616, -4.40168
0.290751, 0.0852814, -383.72, 20.8824, 2.522, 0.00244428, 3.84722, -15.6722, -3.84975
0.320721, 0.088683, -371.059, 20.8257, 2.22813, 0.00240863, 3.32171, -15.3874, -3.32655
0.352677, 0.0918524, -358.721, 20.7474, 1.93453, 0.00237759, 2.8206, -15.1013, -2.82728
0.386728, 0.0947465, -346.606, 20.6469, 1.64159, 0.00235088, 2.34121, -14.8106, -2.34934
0.42142, 0.0972263, -335.16, 20.5355, 1.36109, 0.0023289, 1.89967, -14.5269, -1.90862
0.455568, 0.0992201, -324.614, 20.4147, 1.1013, 0.00231098, 1.50425, -14.2548, -1.51373
0.489467, 0.100786, -314.738, 20.2854, 0.857429, 0.00229623, 1.14374, -13.9901, -1.15364
0.523109, 0.101951, -305.421, 20.1511, 0.628351, 0.00228429, 0.814321, -13.7337, -0.824425
0.55649, 0.102742, -296.653, 20.0145, 0.411871, 0.0022748, 0.51011, -13.4864, -0.520545
0.589606, 0.103177, -288.357, 19.8771, 0.206273, 0.00226748, 0.227865, -13.2479, -0.238536
0.622455, 0.103276, -280.497, 19.7409, 0.0104675, 0.00226214, -0.0351381, -13.0189, 0.0242901
0.655034, 0.103055, -273.088, 19.609, -0.177003, 0.00225872, -0.282286, -12.8012, 0.271181
0.687338, 0.102527, -266.139, 19.4843, -0.357403, 0.00225723, -0.51606, -12.5968, 0.504681
0.719357, 0.101707, -259.699, 19.3724, -0.531663, 0.00225793, -0.738761, -12.4104, 0.727093
0.751077, 0.100604, -253.902, 19.2804, -0.702202, 0.00226121, -0.95566, -12.2481, 0.94336
