x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.000101586, 0.00462025, -650.506, 4.87951, 37.4961, 0.0053864, 30.6318, 35.499, -38.0285
0.00587354, 0.0126987, -1033.65, 15.388, 31.7034, 0.00440079, 44.4713, 1.91946, -51.3559
0.0150181, 0.0191452, -882.594, 19.8249, 17.9637, 0.00367786, 33.3589, -15.1239, -34.4259
0.0254958, 0.0247569, -742.136, 20.9884, 9.98865, 0.00336723, 25.3676, -20.3346, -24.9054
0.0369941, 0.0299151, -658.455, 21.9042, 7.31415, 0.00326256, 20.9859, -22.1074, -20.4752
0.0495286, 0.0348306, -600.096, 22.5861, 6.63982, 0.0032124, 18.0857, -22.4864, -17.6857
0.0630035, 0.0395544, -557.729, 23.0564, 6.46737, 0.00315712, 15.8839, -22.2773, -15.6131
0.0774278, 0.0441333, -526.927, 23.3878, 6.32522, 0.00308726, 14.0844, -21.8463, -13.9233
0.0929172, 0.0486225, -503.079, 23.6208, 6.09453, 0.00300927, 12.5434, -21.3569, -12.4526
0.109535, 0.0530397, -483.217, 23.7746, 5.78616, 0.00293239, 11.21, -20.883, -11.1585
0.127339, 0.0573914, -466.043, 23.8706, 5.43859, 0.00286193, 10.051, -20.4569, -10.0224
0.146391, 0.0616765, -450.985, 23.9275, 5.07581, 0.00279854, 9.02913, -20.079, -9.0139
0.166755, 0.0658875, -437.5, 23.9542, 4.70848, 0.00274115, 8.11178, -19.735, -8.10435
0.188496, 0.0700123, -425.099, 23.9516, 4.34166, 0.00268921, 7.2776, -19.4119, -7.27478
0.211648, 0.0740297, -413.345, 23.9224, 3.9824, 0.00264217, 6.51129, -19.0995, -6.51418
0.236317, 0.0779247, -402.313, 23.8663, 3.6299, 0.00259999, 5.79828, -18.797, -5.80725
0.262652, 0.0816846, -391.965, 23.7905, 3.28128, 0.00256289, 5.12845, -18.5075, -5.14143
0.290751, 0.0852814, -382.454, 23.708, 2.93188, 0.00253107, 4.49294, -18.2355, -4.50544
0.320721, 0.088683, -373.282, 23.6144, 2.58116, 0.00250394, 3.88726, -17.9702, -3.89676
0.352677, 0.0918524, -364.147, 23.5075, 2.23198, 0.0024809, 3.30802, -17.7011, -3.31505
0.386728, 0.0947465, -354.606, 23.3771, 1.89121, 0.00246122, 2.75399, -17.4149, -2.76321
0.42142, 0.0972263, -345.463, 23.246, 1.5734, 0.0024459, 2.24422, -17.1377, -2.25845
0.455568, 0.0992201, -337.309, 23.1205, 1.28351, 0.0024349, 1.78591, -16.884, -1.80477
0.489467, 0.100786, -330.215, 23.0093, 1.0124, 0.00242803, 1.36468, -16.6589, -1.38621
0.523109, 0.101951, -324.267, 22.9174, 0.752774, 0.00242526, 0.974162, -16.466, -0.994181
0.55649, 0.102742, -318.934, 22.8394, 0.501906, 0.00242588, 0.608469, -16.2978, -0.62497
0.589606, 0.103177, -313.822, 22.7666, 0.258849, 0.00242911, 0.264685, -16.1441, -0.277138
0.622455, 0.103276, -308.486, 22.6941, 0.02723, 0.00243431, -0.0582684, -15.9976, 0.0473516
0.655034, 0.103055, -303.239, 22.6277, -0.192058, 0.0024416, -0.364809, -15.8634, 0.35219
0.687338, 0.102527, -298.445, 22.5808, -0.398958, 0.00245167, -0.659078, -15.7545, 0.641548
0.719357, 0.101707, -294.922, 22.5745, -0.597679, 0.00246589, -0.947892, -15.6927, 0.924602
0.751077, 0.100604, -293.183, 22.6295, -0.794511, 0.00248582, -1.24171, -15.7007, 1.21293
0.782581, 0.0992243, -293.791, 22.7699, -0.997723, 0.0025133, -1.55007, -15.8058, 1.51845
0.813879, 0.097573, -297.252, 23.0395, -1.21072, 0.00255184, -1.89057, -16.0527, 1.85739
0.844839, 0.0956635, -305.136, 23.4834, -1.47879, 0.00260556, -2.3226, -16.5332, 2.28907
0.875474, 0.0935418, -322.213, 24.6618, -1.65613, 0.0027017, -2.74863, -17.5313, 2.74078
0.905646, 0.0897068, -364.725, 25.4166, -3.13437, 0.00283408, -5.73947, -19.1682, 5.53484
0.933578, 0.0794672, -369.739, 11.9186, -4.21112, 0.001662, -5.63187, -5.89757, 5.32563
0.957209, 0.0615181, -296.035, -7.42125, 5.63861, 0.000622255, 1.55195, -0.148384, -1.38637
0.976727, 0.0391844, -271.854, -7.43323, 7.69581, 0.000940623, 4.18292, -0.943592, -4.09595
0.99283, 0.0146437, -191.202, -4.25537, 3.56089, 0.00151206, 4.4056, -1.03386, -3.84288
-0.0043244, 0.00486892, -370.486, 13.4322, 29.6944, 0.014913, 20.9978, -43.943, -11.8966
0.00162107, 0.0134207, -678.158, 26.9238, 28.3548, 0.0124535, 6.35925, -29.4747, 7.15407
0.0108084, 0.0202904, -759.757, 31.7381, 22.4898, 0.0111685, 15.1329, -12.2638, -10.6424
0.0213815, 0.0262746, -729.252, 31.7557, 17.4206, 0.0102559, 18.9925, -8.19613, -19.5156
0.0330123, 0.031757, -667.523, 30.3736, 13.7553, 0.00968103, 16.052, -8.03424, -17.4883
0.0457043, 0.0369522, -609.5, 29.1475, 11.2789, 0.00916446, 11.8144, -8.03425, -12.9499
0.0593526, 0.0419155, -564.425, 28.3341, 9.67879, 0.00856195, 8.32092, -7.44797, -9.03782
0.0739591, 0.0466989, -530.835, 27.8433, 8.59444, 0.0078609, 5.82222, -6.51514, -6.23061
0.0896345, 0.051362, -504.929, 27.5465, 7.76627, 0.00715221, 4.15361, -5.56305, -4.37412
0.106438, 0.0559271, -483.851, 27.3511, 7.0739, 0.00651781, 3.06883, -4.7645, -3.18595
0.124425, 0.0604046, -465.987, 27.2063, 6.46604, 0.00598291, 2.34814, -4.14211, -2.40857
0.143655, 0.0647972, -450.507, 27.0881, 5.91372, 0.00553377, 1.8462, -3.65871, -1.87349
0.16419, 0.0691008, -436.783, 26.9818, 5.40145, 0.00515206, 1.4821, -3.27771, -1.48925
0.186095, 0.0733062, -424.284, 26.8762, 4.92153, 0.00482666, 1.21045, -2.97477, -1.20515
0.209405, 0.0773945, -412.505, 26.7626, 4.4724, 0.00454799, 1.00009, -2.72878, -0.987622
0.234224, 0.0813531, -401.431, 26.6441, 4.04362, 0.00431047, 0.83076, -2.53013, -0.813231
0.260702, 0.085171, -391.024, 26.5247, 3.62518, 0.0041093, 0.691072, -2.36901, -0.668703
0.288938, 0.088822, -381.465, 26.4036, 3.20805, 0.00393754, 0.572917, -2.23358, -0.545606
0.319038, 0.0922753, -372.316, 26.2757, 2.79812, 0.00379113, 0.474875, -2.11955, -0.444899
0.351118, 0.0954951, -363.259, 26.1304, 2.4011, 0.00366576, 0.393045, -2.01931, -0.363446
0.385288, 0.0984395, -353.811, 25.961, 2.02419, 0.00356015, 0.322828, -1.9316, -0.296873
0.420094, 0.100968, -344.703, 25.7896, 1.67447, 0.00347349, 0.26008, -1.85314, -0.238154
0.454347, 0.103008, -336.537, 25.631, 1.35021, 0.0034038, 0.202712, -1.78664, -0.182045
0.488346, 0.104618, -329.405, 25.4917, 1.03942, 0.00334666, 0.148376, -1.72869, -0.126112
0.522082, 0.105827, -323.418, 25.3755, 0.736862, 0.00330029, 0.098073, -1.67825, -0.0723528
0.555551, 0.106659, -318.079, 25.2773, 0.446352, 0.0032629, 0.0541796, -1.63497, -0.0257144
0.588752, 0.107136, -312.992, 25.1885, 0.171506, 0.00323417, 0.0174009, -1.59882, 0.0116027
0.62168, 0.107275, -307.704, 25.1034, -0.0820573, 0.00321295, -0.0134489, -1.56842, 0.0400061
0.654334, 0.107094, -302.486, 25.026, -0.318649, 0.00319854, -0.0423445, -1.54175, 0.0650974
0.686708, 0.106607, -297.688, 24.9676, -0.543451, 0.00318938, -0.0726764, -1.51632, 0.0917436
0.718795, 0.105826, -294.11, 24.9477, -0.767971, 0.00318462, -0.107834, -1.48988, 0.125638
0.750579, 0.104763, -292.268, 24.9864, -1.00238, 0.00318362, -0.149598, -1.46172, 0.169208
0.782144, 0.103423, -292.738, 25.1093, -1.25591, 0.00318597, -0.198731, -1.43072, 0.22316
0.8135, 0.101811, -295.995, 25.3453, -1.54034, 0.0031957, -0.266791, -1.39464, 0.298266
0.844515, 0.0999407, -303.563, 25.8318, -1.88654, 0.0032088, -0.33299, -1.3583, 0.372171
0.875203, 0.0978585, -319.175, 26.4058, -2.32502, 0.00324729, -0.637241, -1.06766, 0.701944
0.905426, 0.0940635, -352.067, 29.5312, -4.29845, 0.00340282, -0.283646, -1.15093, 0.560352
0.933408, 0.0838664, -353.39, 22.1268, -7.93666, 0.00315313, -2.50372, -4.70917, 2.80667
0.957088, 0.0659627, -299.857, 0.558671, 1.58574, 0.00310134, -6.54979, -3.86682, 6.2297
0.976655, 0.043676, -278.834, -6.56263, 9.40943, 0.00331596, -1.45108, -1.3718, 0.663768
0.992806, 0.0191832, -210.801, -3.35777, 5.4546, 0.00583897, 0.230367, -1.6472, -1.80673
-0.00945053, 0.00517084, -210.187, 14.701, 27.3663, 0.0277086, 11.6029, -40.5891, -12.2414
-0.00354067, 0.0142974, -475.723, 24.8695, 27.8264, 0.0223246, -16.6971, -14.6073, 14.3183
0.00569865, 0.0216809, -658.888, 31.3741, 25.0098, 0.0171393, -7.18126, 0.7107, 4.96933
0.0163875, 0.0281174, -691.207, 33.9747, 20.8692, 0.0139013, 1.46094, 1.46597, -1.971
0.0281791, 0.0339934, -651.131, 34.1864, 16.885, 0.0129304, 5.49865, -1.02124, -5.22047
0.0410625, 0.039528, -601.479, 33.4525, 13.8011, 0.0125976, 6.77543, -3.34468, -6.43752
0.0549213, 0.0447823, -560.272, 32.535, 11.6394, 0.0124103, 6.55774, -4.78864, -6.32567
0.0697493, 0.0498139, -528.122, 31.7208, 10.1188, 0.0121207, 5.68557, -5.38723, -5.53885
0.0856503, 0.0546881, -502.62, 31.0714, 8.97878, 0.0117397, 4.70322, -5.43226, -4.61225
0.102679, 0.0594326, -481.733, 30.5662, 8.06674, 0.0113113, 3.83662, -5.20068, -3.78242
0.120888, 0.0640629, -464.023, 30.1678, 7.29943, 0.010867, 3.12996, -4.86233, -3.09934
0.140333, 0.0685861, -448.657, 29.8451, 6.6272, 0.0104009, 2.56219, -4.49149, -2.54785
0.161077, 0.0730021, -435.066, 29.5752, 6.02157, 0.0099238, 2.10858, -4.13041, -2.10515
0.183182, 0.0773051, -422.734, 29.3392, 5.46531, 0.00945553, 1.74639, -3.80142, -1.74784
0.206683, 0.0814795, -411.116, 29.1215, 4.95114, 0.00900943, 1.4537, -3.51036, -1.45547
0.231684, 0.0855152, -400.101, 28.9148, 4.46524, 0.00859252, 1.21195, -3.24984, -1.21417
0.258336, 0.0894035, -389.695, 28.7192, 3.99687, 0.00820825, 1.01084, -3.01649, -1.01607
0.286738, 0.0931203, -380.147, 28.5363, 3.53653, 0.00786175, 0.845135, -2.81574, -0.854917
0.316996, 0.0966363, -371.117, 28.3599, 3.08926, 0.00755396, 0.708362, -2.64728, -0.721263
0.349227, 0.0999174, -362.232, 28.1792, 2.65894, 0.00728617, 0.593679, -2.50938, -0.606599
0.383541, 0.102923, -352.939, 27.9833, 2.25128, 0.00705706, 0.493475, -2.39426, -0.505141
0.418484, 0.10551, -343.875, 27.788, 1.87251, 0.00686634, 0.404744, -2.29322, -0.415742
0.452866, 0.107606, -335.655, 27.6065, 1.51849, 0.00670933, 0.32628, -2.20357, -0.336853
0.486986, 0.10927, -328.449, 27.4453, 1.17727, 0.00657676, 0.255115, -2.12315, -0.265574
0.520836, 0.110531, -322.424, 27.3092, 0.845073, 0.00646502, 0.191408, -2.05255, -0.201445
0.554413, 0.111415, -317.131, 27.1942, 0.528957, 0.00637059, 0.136228, -1.99211, -0.145952
0.587715, 0.111941, -312.147, 27.092, 0.233532, 0.00629215, 0.0889907, -1.94105, -0.0986514
0.620739, 0.11213, -306.976, 26.9961, -0.0360194, 0.00622786, 0.0472197, -1.89662, -0.0575951
0.653484, 0.111998, -301.805, 26.9088, -0.287491, 0.00617678, 0.00679158, -1.85526, -0.0184323
0.685945, 0.111559, -296.976, 26.8396, -0.529077, 0.00613709, -0.0359471, -1.81385, 0.0228652
0.718114, 0.110826, -293.271, 26.8056, -0.775944, 0.00610785, -0.0842525, -1.76959, 0.0705959
0.749975, 0.109811, -291.252, 26.8266, -1.03896, 0.00608809, -0.139656, -1.72219, 0.126284
0.781613, 0.108519, -291.52, 26.9244, -1.32773, 0.00607555, -0.205413, -1.6664, 0.193218
0.813041, 0.106955, -294.528, 27.1373, -1.65929, 0.00608732, -0.289409, -1.61265, 0.278945
0.844122, 0.105133, -301.651, 27.5171, -2.04422, 0.00604425, -0.390796, -1.44347, 0.378624
0.874875, 0.103098, -314.79, 28.1865, -2.7203, 0.00641016, -0.665256, -1.43239, 0.703546
0.90516, 0.0993517, -339.263, 29.381, -4.12506, 0.00547811, 0.2294, 0.532307, -0.22107
0.933201, 0.0892061, -336.009, 27.0631, -8.60702, 0.00426747, 0.261611, -2.89608, -0.173568
0.956941, 0.0713575, -298.149, 9.75482, -3.61772, 0.00423944, -6.218, -4.83078, 6.2998
0.976567, 0.0491279, -283.01, -4.23934, 7.49945, 0.0055507, -5.43216, -1.09553, 5.48096
0.992777, 0.024693, -235.38, -3.29959, 6.33471, 0.0079886, 0.959501, 0.247878, -1.3065
-0.0156732, 0.00553743, -125.007, 16.4495, 24.7211, 0.0405576, 15.8659, -42.5086, -14.8872
-0.00980609, 0.0153617, -336.655, 23.0765, 26.5298, 0.0341052, -16.0221, -23.6463, 14.8841
-0.000503576, 0.0233691, -532.02, 29.1509, 25.2103, 0.0269966, -17.0678, -4.59008, 16.0598
0.0103258, 0.0303548, -612.603, 33.0137, 22.0031, 0.0218749, -8.73556, 2.61706, 8.59842
0.0223128, 0.0367087, -611.859, 34.6535, 18.5197, 0.0186618, -1.8009, 3.08989, 1.87186
0.0354284, 0.0426556, -582.686, 34.9336, 15.5747, 0.016668, 1.83445, 1.3902, -1.82223
0.049543, 0.0482632, -550.238, 34.5981, 13.3069, 0.0156856, 3.26872, -0.378606, -3.29045
0.0646398, 0.0535961, -521.643, 34.0537, 11.5764, 0.01534, 3.66609, -1.72082, -3.68597
0.0808149, 0.0587266, -497.676, 33.4778, 10.2139, 0.0151536, 3.58014, -2.61031, -3.593
0.0981171, 0.0636889, -477.613, 32.9365, 9.10266, 0.0149838, 3.28958, -3.13537, -3.29988
0.116595, 0.0685046, -460.457, 32.4489, 8.16741, 0.014791, 2.92773, -3.40327, -2.93845
0.136302, 0.0731863, -445.484, 32.0181, 7.35823, 0.0144877, 2.54488, -3.48178, -2.55783
0.157299, 0.0777387, -432.208, 31.64, 6.64112, 0.0141146, 2.18202, -3.44229, -2.19576
0.179647, 0.0821604, -420.172, 31.3046, 5.99217, 0.0137035, 1.85834, -3.3377, -1.86858
0.20338, 0.0864392, -408.839, 30.999, 5.39984, 0.0132637, 1.57582, -3.19862, -1.57901
0.228602, 0.0905684, -398.002, 30.7141, 4.85037, 0.012813, 1.33264, -3.0413, -1.33257
0.255466, 0.0945422, -387.691, 30.4481, 4.33186, 0.0123649, 1.12408, -2.87468, -1.1276
0.284068, 0.0983388, -378.211, 30.2036, 3.83111, 0.0119319, 0.946813, -2.71083, -0.957725
0.314518, 0.101931, -369.352, 29.9756, 3.34669, 0.0115233, 0.794742, -2.5613, -0.808095
0.346933, 0.105286, -360.694, 29.7532, 2.8791, 0.0111463, 0.662888, -2.43053, -0.670699
0.381422, 0.108365, -351.614, 29.5233, 2.43508, 0.0108069, 0.54648, -2.31628, -0.545066
0.416531, 0.111025, -342.614, 29.2984, 2.02442, 0.0105125, 0.446134, -2.21198, -0.439066
0.451069, 0.113189, -334.328, 29.0902, 1.64496, 0.0102641, 0.362898, -2.11693, -0.357004
0.485336, 0.114918, -327.032, 28.9049, 1.28272, 0.0100511, 0.290711, -2.03015, -0.29055
0.519324, 0.116243, -320.966, 28.7475, 0.931243, 0.00986855, 0.226538, -1.95346, -0.231969
0.553032, 0.117188, -315.756, 28.6147, 0.595785, 0.00971151, 0.168388, -1.88814, -0.175283
0.586458, 0.117775, -310.923, 28.4978, 0.280384, 0.00957727, 0.11541, -1.83305, -0.118925
0.619598, 0.118024, -305.91, 28.3892, -0.00943923, 0.00946319, 0.0658573, -1.7842, -0.0630455
0.652453, 0.11795, -300.791, 28.289, -0.280744, 0.00936784, 0.0181653, -1.73635, -0.00983609
0.685019, 0.11757, -295.89, 28.2051, -0.542061, 0.00928938, -0.030429, -1.6859, 0.0413087
0.717287, 0.116896, -291.977, 28.1533, -0.809468, 0.00922729, -0.0825728, -1.63027, 0.092192
0.749242, 0.115939, -289.686, 28.1529, -1.095, 0.00918024, -0.140752, -1.56875, 0.146414
0.78097, 0.114705, -289.652, 28.2225, -1.4114, 0.0091493, -0.212478, -1.4974, 0.213133
0.812483, 0.113199, -292.307, 28.4021, -1.77626, 0.00913993, -0.295876, -1.41012, 0.293435
0.843646, 0.111435, -298.712, 28.6917, -2.21711, 0.00913547, -0.439909, -1.23137, 0.435539
0.874477, 0.109458, -309.442, 29.3174, -2.94718, 0.00934437, -0.477329, -1.00967, 0.497582
0.904836, 0.105771, -327.458, 29.6141, -4.02561, 0.00886709, -0.146559, 0.263496, 0.0946072
0.932951, 0.0956876, -326.937, 29.4386, -7.66739, 0.00632992, 1.59488, -1.6954, -1.70771
0.956762, 0.0779058, -290.78, 17.7547, -7.0255, 0.00503592, -3.23734, -4.80561, 3.37371
0.97646, 0.0557453, -284.904, 0.958368, 3.29267, 0.00653393, -8.29229, -2.65002, 8.34351
0.992741, 0.0313808, -259.096, -2.61285, 6.64409, 0.00961514, -1.28737, -0.00820776, 0.877307
-0.023227, 0.00598258, -77.5831, 18.109, 22.0973, 0.0528722, 15.0451, -38.1497, -13.7027
-0.0174111, 0.0166541, -226.053, 22.6057, 24.0968, 0.046733, -10.9517, -30.7416, 11.9866
-0.00803177, 0.025419, -397.068, 27.4941, 24.0939, 0.0393383, -19.0666, -12.6463, 19.1169
0.0029682, 0.0330717, -509.304, 31.4457, 22.1998, 0.0332648, -14.6907, -0.201468, 14.4855
0.0151923, 0.040006, -550.614, 33.8231, 19.474, 0.0287635, -7.56643, 4.19967, 7.41801
0.0285901, 0.0464534, -548.92, 34.8874, 16.7758, 0.0254981, -2.40722, 4.06053, 2.34208
0.0430152, 0.05249, -530.427, 35.1526, 14.4898, 0.0231512, 0.355785, 2.53541, -0.374178
0.0584386, 0.0581887, -508.7, 35.0214, 12.6546, 0.0214076, 1.59778, 1.01033, -1.59991
0.0749466, 0.0636304, -488.346, 34.7181, 11.1773, 0.0200689, 2.0571, -0.149887, -2.05691
0.0925811, 0.0688571, -470.345, 34.3484, 9.95992, 0.0192072, 2.17142, -0.95931, -2.17252
0.111386, 0.073898, -454.484, 33.9584, 8.92738, 0.0187309, 2.1395, -1.52529, -2.14185
0.131411, 0.0787721, -440.376, 33.5707, 8.02857, 0.0184087, 2.02811, -1.91609, -2.03246
0.152714, 0.08349, -427.718, 33.1974, 7.22896, 0.0181391, 1.87311, -2.17432, -1.87974
0.175357, 0.0880556, -416.195, 32.8435, 6.50457, 0.0178437, 1.69672, -2.32936, -1.70402
0.199372, 0.0924612, -405.359, 32.5073, 5.84377, 0.0174744, 1.51191, -2.40479, -1.51598
0.224863, 0.096704, -394.921, 32.1852, 5.23567, 0.0170727, 1.33139, -2.42276, -1.33325
0.251983, 0.100781, -384.869, 31.8777, 4.66928, 0.0166435, 1.15864, -2.39343, -1.16323
0.280829, 0.104675, -375.527, 31.5904, 4.12939, 0.0162022, 0.998788, -2.33024, -1.01085
0.311512, 0.108359, -366.846, 31.3228, 3.60764, 0.0157626, 0.853486, -2.25258, -0.868529
0.344149, 0.111805, -358.44, 31.0661, 3.10123, 0.0153354, 0.723451, -2.17457, -0.732468
0.378851, 0.114974, -349.657, 30.8075, 2.61839, 0.0149326, 0.606123, -2.10162, -0.602988
0.414162, 0.11772, -340.823, 30.5562, 2.1757, 0.0145676, 0.504374, -2.02757, -0.493292
0.44889, 0.119966, -332.538, 30.3231, 1.77454, 0.0142488, 0.420457, -1.95232, -0.41154
0.483334, 0.121775, -325.163, 30.1139, 1.39728, 0.0139678, 0.347458, -1.87572, -0.348063
0.517491, 0.123176, -319.028, 29.9346, 1.03215, 0.0137215, 0.281549, -1.80271, -0.292111
0.551358, 0.124196, -313.872, 29.783, 0.679361, 0.0135053, 0.219508, -1.73842, -0.23298
0.584932, 0.124857, -309.192, 29.6506, 0.342075, 0.0133166, 0.161045, -1.6844, -0.168622
0.618215, 0.125178, -304.374, 29.5284, 0.0274218, 0.0131526, 0.105232, -1.6373, -0.100829
0.651203, 0.125177, -299.346, 29.4142, -0.267402, 0.0130117, 0.0522774, -1.59087, -0.0369864
0.683895, 0.124867, -294.391, 29.3143, -0.548889, 0.0128923, 0.000119952, -1.53972, 0.0202278
0.716284, 0.124264, -290.243, 29.2427, -0.832564, 0.0127946, -0.0535514, -1.4794, 0.0705237
0.748354, 0.123378, -287.609, 29.2178, -1.13297, 0.0127173, -0.112575, -1.4077, 0.119853
0.78019, 0.122214, -287.155, 29.2569, -1.46782, 0.012665, -0.185744, -1.32167, 0.180472
0.811807, 0.120778, -289.28, 29.3919, -1.85724, 0.0126328, -0.268525, -1.19998, 0.255149
0.843069, 0.119084, -294.691, 29.6128, -2.34532, 0.0126629, -0.409236, -1.01631, 0.38881
0.873994, 0.117178, -303.063, 30.0765, -3.06985, 0.0127103, -0.353257, -0.622521, 0.35056
0.904444, 0.113562, -315.25, 30.1609, -4.12245, 0.0128523, -0.379953, -0.0152412, 0.359503
