x,y,p,Ux,Uy,Rx,Ry,Rxy,viscosity
1.000968,0.000807,79.1340892091796,10.913787090866583,-7.60510811293844,1.6408022072479829,0.006373798338886699,8.801407197881119,-1.9958141070774604
1.000083,0.002079,83.78484354974361,8.92242525718045,-7.752401767884397,-0.36387015362970204,0.006493398837411412,7.959286159275961,-0.1883019527066116
0.997426,0.005825,121.34490376670679,9.968019299519389,-7.378881979486916,0.32922312029694223,0.004598112940189257,6.069677252826162,-0.5848615088268713
0.992986,0.011841,-48.14798264602554,0.5515334453039027,-0.7991147435156809,1.9520961527061143,0.0019425301501885626,0.3540921779418834,-1.6347085525731004
0.98674,0.01979,-61.3989635754723,-0.31085898437676984,2.1296925725653653,-0.38617873996676993,0.00467844693358491,-0.6583684466551312,-0.4269555626180761
0.978646,0.029213,-72.30575853852315,-2.1580625138066005,2.8368132182610917,0.4079960515038574,0.0028584597608048734,-0.020630225285445003,-0.5468098614776348
0.968625,0.039536,-97.93729932633703,-1.6795476862008463,2.5958549801528905,-2.505469999827495,0.002690140406276936,-1.4535348197448528,2.2084805702156247
0.956538,0.050074,-157.75215636621934,1.5350542383752246,-0.4298837499970461,-1.8560553214498705,0.0015630441073024727,-1.256083078722404,1.7667128145745348
0.942158,0.060012,-215.43736395368916,7.460559479768678,-2.6351187958862776,-2.8412121772514807,0.0012952637958320722,-3.795170365488295,2.7592329609454325
0.925166,0.068342,-240.8959798081862,15.89584967973888,-3.979919791673779,-5.678018671462188,0.002041222444553356,-8.816592042607802,5.363052022862895
0.90526,0.073772,-230.89801013111827,19.40515511659251,-3.007462456434777,-4.249887718920769,0.0023041716982057587,-11.859231194393594,4.130973229406454
0.885221,0.076281,-205.9419795306377,20.107841526229272,-2.3065262487779385,-3.2142892477464566,0.0023527501391117666,-12.477666379037167,3.1946519159382896
0.864385,0.078716,-204.00663222655518,19.40372247948436,-2.0838407642351653,-2.894104879220426,0.002319543861472077,-11.880356433364689,2.8734499542432776
0.84209,0.081182,-204.52689938309115,19.424157239448732,-1.9373620569084797,-2.653523480849058,0.002302094298000266,-11.91734055001474,2.6390845964860596
0.818421,0.083644,-210.3778198959517,19.584606324790894,-1.8158427821229315,-2.5009666946193754,0.0023049685463250257,-12.051048883070372,2.489026135812956
0.79347,0.086068,-216.87866858908313,19.733162539869337,-1.698121206010922,-2.359466488488875,0.002308724240819163,-12.243471131086118,2.3487990513576267
0.767332,0.088419,-223.98220556738497,19.92273812435592,-1.5760828760622219,-2.212812332300783,0.0023144164716877103,-12.506006158308205,2.203119897046967
0.74011,0.090663,-231.74257208920613,20.12594398106505,-1.447330354083613,-2.0592857676930394,0.0023218088162056272,-12.808115917598952,2.049913920555174
0.711909,0.092767,-239.37419864286468,20.334025049416653,-1.3016799939313226,-1.883978220838029,0.0023292468788770316,-13.132916985735733,1.8750473880558038
0.682842,0.094698,-248.68210024893074,20.593757512712607,-1.1561843892493813,-1.703031314512971,0.002341091737398531,-13.520301047222702,1.694266927132026
0.653021,0.096426,-258.4912601590334,20.87113459734142,-0.9989068278130121,-1.5027141821690058,0.0023545303933075416,-13.937792078410954,1.4939991559015902
0.622567,0.09792,-268.82425190117067,21.16526680076973,-0.8282110043431947,-1.2794248896592297,0.0023697535615051037,-14.384591127180691,1.2706490825234957
0.591599,0.099151,-279.70541345234653,21.47491491324233,-0.6425064139136464,-1.029277006575177,0.002386959087265429,-14.860521424743741,1.0203481176259779
0.560242,0.100091,-291.1549165787496,21.799109657744353,-0.4400276882089068,-0.7479994845612532,0.002406346290638109,-15.365292846787476,0.7388327991433343
0.528622,0.100714,-303.20867654184724,22.13705099904437,-0.21868787164295253,-0.4307770363498638,0.002428157568976259,-15.899509226764303,0.42113959563688674
0.496868,0.100996,-315.847889264725,22.487196452848945,0.023803927921890247,-0.07119679238827449,0.002452638678991006,-16.462592929090285,0.06104330333764577
0.465109,0.100913,-329.08947758023845,22.847131293661896,0.2892697025538815,0.3360694037773183,0.002480002808726337,-17.05331877012261,-0.34685235129357367
0.433474,0.100447,-342.98182321911395,23.215644004898188,0.5800834217228561,0.7975533725809117,0.0025105465674535457,-17.671907698405008,-0.8092575675987372
0.402094,0.099581,-357.5280281810749,23.591565942084422,0.89908569281577,1.3218964703762526,0.0025445739304315084,-18.317365115556758,-1.3347286014991229
0.371098,0.098301,-372.67738147865384,23.973411745204235,1.2473849332791738,1.915184078635047,0.0025823552770138547,-18.985315342310905,-1.9291143654299265
0.340614,0.096598,-388.4507403138622,24.36237599789882,1.626594104478149,2.5854181683871995,0.0026246656647492357,-19.675495360294963,-2.6001122388478617
0.310769,0.094468,-405.0367703249149,24.754972173981287,2.0423905759130605,3.348701418455887,0.0026724839421645914,-20.39235009704349,-3.3643240445501124
0.281687,0.09191,-422.49718205587936,25.150786640062712,2.498878020329019,4.221210922246228,0.002726471629907923,-21.135979020932385,-4.23766043717496
0.253488,0.088929,-440.9327524352783,25.547023889425333,2.9996172499340403,5.219736286408057,0.0027871857636548865,-21.90414150805524,-5.236738626225154
0.22629,0.085535,-460.5177608415052,25.94310569281325,3.5487597959583472,6.364118610480064,0.0028553140798690158,-22.69510881138807,-6.381211602950157
0.200206,0.081746,-481.4897819052626,26.338755495190885,4.151590958799768,7.680235229105059,0.0029316830291021435,-23.507554180436742,-7.6968339430603585
0.175342,0.077582,-504.04346014351137,26.72940945674119,4.81150908024018,9.201903351419572,0.003017534825895752,-24.338484555505254,-9.216156316774269
0.151801,0.07307,-528.4872676077492,27.099232129589293,5.525956394673326,10.968124934164623,0.003114617114537248,-25.186238897391924,-10.976752394717403
0.129679,0.068241,-555.2966409174123,27.41593111147637,6.285844585905508,13.031461473427871,0.0032252078455916417,-26.046988426560027,-13.02901776690448
