x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00179559, 0.00509299, -272.512, 0.0990901, 32.6246, 0.00499384, 9.2549, 35.867, -11.1777
0.000838342, 0.0150359, -701.636, 10.0431, 38.5153, 0.00538094, 38.9083, 30.6781, -43.7008
0.00714531, 0.0242376, -782.632, 18.2368, 34.9343, 0.00502173, 49.2532, 10.8911, -52.5389
0.0155805, 0.0326637, -735.291, 22.858, 28.8148, 0.00456798, 47.0265, -3.47317, -48.8146
0.0255336, 0.0406003, -695.014, 25.4535, 23.7563, 0.00429031, 42.8319, -12.1231, -43.9294
0.0367507, 0.0481985, -670.618, 27.2109, 20.2238, 0.00415134, 39.1683, -17.7407, -39.8914
0.0491488, 0.0555633, -650.211, 28.5324, 17.7787, 0.00405076, 35.8103, -21.4987, -36.2844
0.0627173, 0.0627591, -631.683, 29.5243, 16.0073, 0.00394338, 32.5817, -23.9301, -32.9052
0.0774771, 0.0698214, -616.473, 30.2525, 14.6296, 0.00382856, 29.5498, -25.4877, -29.7942
0.0934636, 0.076763, -604.656, 30.7681, 13.4603, 0.00371648, 26.7687, -26.5311, -26.9743
0.110633, 0.0835491, -595.062, 31.1143, 12.3964, 0.00361527, 24.247, -27.2795, -24.4305
0.129055, 0.0901757, -586.669, 31.3232, 11.3834, 0.00352763, 21.9429, -27.8607, -22.1137
0.148893, 0.0966602, -578.731, 31.4329, 10.3972, 0.00345258, 19.8004, -28.3289, -19.9614
0.170218, 0.102969, -571.075, 31.4704, 9.43044, 0.00338713, 17.7689, -28.6978, -17.9224
0.193105, 0.109058, -563.398, 31.45, 8.47834, 0.0033281, 15.8096, -28.9577, -15.9562
0.217637, 0.114877, -555.38, 31.3777, 7.53845, 0.0032733, 13.9003, -29.096, -14.0398
0.243905, 0.120364, -546.837, 31.2542, 6.60832, 0.00322169, 12.0285, -29.1073, -12.1614
0.272006, 0.125451, -537.562, 31.0758, 5.68473, 0.00317304, 10.1888, -28.9898, -10.3153
0.302047, 0.130054, -527.301, 30.8395, 4.76706, 0.00312734, 8.38378, -28.7416, -8.50378
0.334144, 0.134083, -515.945, 30.541, 3.85377, 0.00308408, 6.6124, -28.359, -6.72627
0.368417, 0.137428, -503.301, 30.1724, 2.94575, 0.00304246, 4.87946, -27.83, -4.98737
0.403395, 0.139898, -489.799, 29.7565, 2.07331, 0.00300362, 3.2585, -27.187, -3.35704
0.437844, 0.141415, -475.979, 29.3074, 1.2683, 0.00296767, 1.80029, -26.4656, -1.89
0.472036, 0.142063, -461.953, 28.8343, 0.520347, 0.00293411, 0.479248, -25.6841, -0.561326
0.505952, 0.141889, -447.957, 28.3539, -0.1748, 0.00290316, -0.716817, -24.8697, 0.641042
0.539575, 0.140934, -434.407, 27.8891, -0.824923, 0.00287545, -1.80838, -24.0539, 1.73683
0.572875, 0.139242, -422.044, 27.5177, -1.43092, 0.0028542, -2.80498, -23.3098, 2.7372
0.605865, 0.136788, -413.218, 27.27, -2.04743, 0.00284036, -3.85817, -22.6887, 3.78179
0.638507, 0.133325, -406.575, 26.6189, -2.85358, 0.00280691, -5.2838, -21.6808, 5.16848
0.670708, 0.128648, -385.666, 25.3894, -3.71177, 0.00274546, -6.50749, -20.0457, 6.41069
0.702443, 0.122776, -355.075, 23.75, -4.46887, 0.00265584, -7.34541, -17.9472, 7.279
0.733699, 0.115756, -320.312, 21.8573, -5.05685, 0.00254261, -7.76384, -15.6029, 7.72638
0.76444, 0.107642, -282.508, 19.7442, -5.44065, 0.00240638, -7.74796, -13.1329, 7.73947
0.794623, 0.0984913, -241.959, 17.3987, -5.58493, 0.00224462, -7.29177, -10.6227, 7.31181
0.824206, 0.0883675, -199.896, 14.8049, -5.45166, 0.00205307, -6.41893, -8.15615, 6.46321
0.853126, 0.0773486, -157.994, 11.981, -5.01025, 0.00182772, -5.1971, -5.83984, 5.25892
0.881464, 0.0654553, -118.649, 8.91975, -4.22467, 0.00155841, -3.72475, -3.74777, 3.79163
0.909203, 0.0527419, -84.1986, 5.87986, -3.17073, 0.00123817, -2.23376, -2.05078, 2.29597
0.936309, 0.039269, -59.1943, 2.75068, -1.80295, 0.000752262, -0.817604, -0.681062, 0.847066
0.962748, 0.0251113, -39.1654, 1.49601, -1.26436, 0.000692371, -0.464784, -0.368775, 0.517446
0.987901, 0.00996093, -34.9211, -2.31761, 0.497449, 0.000770227, 0.287047, 0.212595, -0.253974
-0.00601625, 0.00534136, -158.994, 6.47713, 29.0077, 0.0140244, 24.7732, -23.0391, -21.6614
-0.00340843, 0.0157564, -437.359, 18.7294, 31.6585, 0.0120173, 7.20943, -27.2996, 1.42065
0.00294183, 0.02538, -574.794, 27.6466, 29.6462, 0.0101055, 2.13663, -15.6434, 5.15587
0.0114723, 0.0341776, -616.373, 32.1146, 26.9396, 0.00865168, 3.57696, -7.68014, 0.77578
0.0215577, 0.0424374, -626.708, 34.1284, 24.3683, 0.0080344, 5.05526, -4.76166, -2.53057
0.0329323, 0.0503144, -627.835, 35.0112, 21.9413, 0.00766824, 5.48336, -3.81896, -3.97515
0.0455039, 0.0579179, -622.186, 35.3254, 19.718, 0.00723407, 5.12402, -3.46009, -4.19795
0.0592548, 0.0653173, -612.368, 35.3639, 17.769, 0.00671029, 4.39205, -3.25228, -3.79804
0.0742006, 0.0725525, -601.981, 35.3193, 16.0908, 0.00616431, 3.59905, -3.07818, -3.18618
0.0903728, 0.0796411, -592.826, 35.2871, 14.6278, 0.00565937, 2.91566, -2.92195, -2.59742
0.107725, 0.0865522, -584.865, 35.285, 13.3241, 0.00523379, 2.39139, -2.79222, -2.12384
0.126325, 0.0932855, -577.656, 35.2974, 12.1298, 0.00490062, 2.00833, -2.70308, -1.7701
0.146335, 0.0998618, -570.668, 35.2998, 11.0051, 0.00464569, 1.72138, -2.64582, -1.50278
0.167824, 0.10625, -563.793, 35.2763, 9.92688, 0.00444641, 1.49305, -2.60864, -1.28993
0.190869, 0.11241, -556.797, 35.2141, 8.87875, 0.00428336, 1.29934, -2.58061, -1.10975
0.215552, 0.118291, -549.391, 35.1039, 7.85139, 0.00414424, 1.12603, -2.55476, -0.948957
0.241962, 0.123836, -541.391, 34.9413, 6.83833, 0.00402441, 0.965733, -2.52911, -0.800258
0.2702, 0.128976, -532.601, 34.7223, 5.83457, 0.00392387, 0.815311, -2.5052, -0.660431
0.300371, 0.133631, -522.785, 34.4426, 4.83897, 0.0038421, 0.672162, -2.48264, -0.527043
0.332592, 0.137709, -511.828, 34.1001, 3.84945, 0.00377639, 0.533941, -2.46025, -0.397847
0.366984, 0.141105, -499.547, 33.6875, 2.86612, 0.00372413, 0.398763, -2.43677, -0.270904
0.402075, 0.143623, -486.317, 33.2253, 1.92564, 0.00368381, 0.273031, -2.40877, -0.155359
0.43663, 0.145187, -472.771, 32.734, 1.0605, 0.00365369, 0.158289, -2.38024, -0.0505334
0.470922, 0.14588, -458.98, 32.2167, 0.255747, 0.00363097, 0.0501563, -2.34801, 0.04879
0.504932, 0.145749, -445.175, 31.6832, -0.495545, 0.0036133, -0.0531224, -2.30827, 0.14479
0.538643, 0.144837, -431.754, 31.1443, -1.20409, 0.00359808, -0.153396, -2.25563, 0.239602
0.572027, 0.143187, -419.405, 30.6227, -1.87523, 0.00357818, -0.256647, -2.15917, 0.340928
0.605096, 0.140775, -410.026, 30.2138, -2.59905, 0.00355553, -0.369912, -2.01709, 0.467442
0.637812, 0.137353, -402.331, 29.7583, -3.60084, 0.00357514, -0.516003, -2.01519, 0.635831
0.670085, 0.132718, -381.975, 28.9212, -4.59183, 0.00363312, -0.652422, -2.1605, 0.772061
0.701887, 0.126887, -352.416, 27.7037, -5.41529, 0.00370433, -0.809165, -2.36778, 0.900109
0.733208, 0.119909, -318.674, 26.1819, -6.05069, 0.00377121, -0.994222, -2.57627, 1.0443
0.76401, 0.111837, -281.896, 24.3794, -6.4829, 0.00382734, -1.20038, -2.77077, 1.20575
0.794252, 0.102729, -242.367, 22.2948, -6.67875, 0.00387091, -1.42055, -2.95153, 1.37919
0.82389, 0.0926476, -201.222, 19.9143, -6.60118, 0.00389974, -1.64967, -3.11537, 1.5612
0.852864, 0.0816715, -160.012, 17.2281, -6.21595, 0.00390815, -1.86802, -3.24563, 1.73848
0.881254, 0.0698212, -121, 14.1584, -5.47273, 0.00388983, -2.05584, -3.29808, 1.89355
0.909042, 0.0571513, -86.325, 10.824, -4.42099, 0.00382525, -2.10692, -3.18174, 1.94921
0.936196, 0.0437219, -60.9, 6.97736, -2.9429, 0.00373563, -2.09833, -2.76701, 1.91952
0.962681, 0.029608, -39.7727, 4.58211, -2.14375, 0.00363563, -1.46452, -2.18539, 1.43062
0.987878, 0.0145017, -37.1749, -0.436189, 0.691939, 0.00340794, -1.28696, -1.33602, 0.880962
-0.0111399, 0.00564294, -84.3851, 9.69846, 26.5978, 0.0261545, 25.2288, -27.7256, -25.348
