x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00179559, 0.00509299, -272.307, 0.100293, 32.62, 0.00499349, 9.25528, 35.8596, -11.1773
0.000838342, 0.0150359, -701.41, 10.0431, 38.5114, 0.00538058, 38.9034, 30.6724, -43.6949
0.00714531, 0.0242376, -782.446, 18.2362, 34.932, 0.00502147, 49.2477, 10.8891, -52.5331
0.0155805, 0.0326637, -735.14, 22.8574, 28.8138, 0.0045678, 47.0223, -3.47328, -48.8103
0.0255336, 0.0406003, -694.882, 25.4529, 23.756, 0.00429009, 42.828, -12.122, -43.9254
0.0367507, 0.0481985, -670.499, 27.2102, 20.2237, 0.00415109, 39.1645, -17.7388, -39.8876
0.0491488, 0.0555633, -650.103, 28.5317, 17.7786, 0.00405052, 35.8069, -21.4966, -36.281
0.0627173, 0.0627591, -631.584, 29.5235, 16.0071, 0.00394316, 32.5789, -23.928, -32.9023
0.0774771, 0.0698214, -616.38, 30.2516, 14.6294, 0.00382836, 29.5473, -25.4855, -29.7918
0.0934636, 0.076763, -604.568, 30.7672, 13.4601, 0.0037163, 26.7666, -26.5289, -26.9722
0.110633, 0.0835491, -594.979, 31.1133, 12.3962, 0.0036151, 24.2451, -27.2773, -24.4286
0.129055, 0.0901757, -586.589, 31.3222, 11.3831, 0.00352747, 21.9412, -27.8585, -22.112
0.148893, 0.0966602, -578.653, 31.4318, 10.3969, 0.00345242, 19.7988, -28.3266, -19.9598
0.170218, 0.102969, -571, 31.4693, 9.43015, 0.00338696, 17.7674, -28.6953, -17.9209
0.193105, 0.109058, -563.325, 31.4488, 8.47806, 0.00332794, 15.8083, -28.9552, -15.9549
0.217637, 0.114877, -555.308, 31.3764, 7.53817, 0.00327314, 13.8991, -29.0934, -14.0386
0.243905, 0.120364, -546.766, 31.2528, 6.60806, 0.00322153, 12.0274, -29.1045, -12.1603
0.272006, 0.125451, -537.493, 31.0743, 5.68449, 0.00317287, 10.1878, -28.9868, -10.3143
0.302047, 0.130054, -527.233, 30.8379, 4.76684, 0.00312717, 8.38294, -28.7386, -8.50295
