x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00179559, 0.00509299, -272.64, 0.0982851, 32.6276, 0.00499408, 9.25462, 35.8719, -11.178
0.000838342, 0.0150359, -701.774, 10.0431, 38.5178, 0.00538117, 38.9115, 30.6819, -43.7045
0.00714531, 0.0242376, -782.743, 18.237, 34.9356, 0.00502188, 49.2563, 10.8924, -52.5422
0.0155805, 0.0326637, -735.378, 22.8582, 28.8153, 0.00456809, 47.0289, -3.47308, -48.8171
0.0255336, 0.0406003, -695.09, 25.4537, 23.7564, 0.00429044, 42.8342, -12.1236, -43.9317
0.0367507, 0.0481985, -670.686, 27.2111, 20.2237, 0.00415147, 39.1702, -17.7416, -39.8933
0.0491488, 0.0555633, -650.271, 28.5327, 17.7785, 0.0040509, 35.812, -21.4998, -36.286
0.0627173, 0.0627591, -631.736, 29.5245, 16.0071, 0.0039435, 32.5831, -23.9313, -32.9065
0.0774771, 0.0698214, -616.522, 30.2527, 14.6296, 0.00382866, 29.5509, -25.4887, -29.7953
0.0934636, 0.076763, -604.701, 30.7684, 13.4603, 0.00371656, 26.7695, -26.532, -26.9751
0.110633, 0.0835491, -595.105, 31.1145, 12.3964, 0.00361535, 24.2478, -27.2804, -24.4312
0.129055, 0.0901757, -586.709, 31.3234, 11.3834, 0.00352771, 21.9436, -27.8616, -22.1143
0.148893, 0.0966602, -578.769, 31.4331, 10.3972, 0.00345265, 19.8009, -28.3297, -19.9619
0.170218, 0.102969, -571.11, 31.4706, 9.43047, 0.0033872, 17.7694, -28.6986, -17.9229
0.193105, 0.109058, -563.432, 31.4502, 8.47837, 0.00332817, 15.81, -28.9585, -15.9566
0.217637, 0.114877, -555.412, 31.3779, 7.53847, 0.00327336, 13.9006, -29.0968, -14.0402
0.243905, 0.120364, -546.867, 31.2544, 6.60834, 0.00322174, 12.0288, -29.1079, -12.1616
0.272006, 0.125451, -537.591, 31.076, 5.68475, 0.00317309, 10.189, -28.9904, -10.3155
0.302047, 0.130054, -527.328, 30.8397, 4.76708, 0.00312739, 8.38397, -28.7423, -8.50398
0.334144, 0.134083, -515.971, 30.5412, 3.85379, 0.00308413, 6.61254, -28.3596, -6.72642
0.368417, 0.137428, -503.326, 30.1727, 2.94576, 0.00304251, 4.87957, -27.8307, -4.98749
0.403395, 0.139898, -489.823, 29.7568, 2.07331, 0.00300367, 3.25858, -27.1877, -3.35712
