x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00179559, 0.00509299, 101.043, 2.74321, 21.9756, 0.004087, 9.62109, 20.2177, -10.0195
0.000838342, 0.0150359, -276.725, 9.72855, 29.9106, 0.00459488, 28.6151, 19.3102, -31.7345
0.00714531, 0.0242376, -443.899, 16.92, 29.9087, 0.00450193, 38.5305, 7.01338, -41.2496
0.0155805, 0.0326637, -470.345, 21.7129, 26.5877, 0.00424084, 39.207, -3.75488, -40.857
0.0255336, 0.0406003, -468.994, 24.6032, 23.0865, 0.00400258, 36.7049, -10.7727, -37.7582
0.0367507, 0.0481985, -470.609, 26.4912, 20.2789, 0.00382759, 33.741, -15.3301, -34.4851
0.0491488, 0.0555633, -473.198, 27.8347, 18.0935, 0.00369789, 30.9353, -18.4432, -31.4765
0.0627173, 0.0627591, -474.364, 28.8117, 16.3403, 0.00359226, 28.3472, -20.6362, -28.7501
0.0774771, 0.0698214, -474.796, 29.5216, 14.8808, 0.0035, 25.9655, -22.2221, -26.2807
0.0934636, 0.076763, -475.388, 30.0325, 13.6137, 0.00341759, 23.7667, -23.4146, -24.0289
0.110633, 0.0835491, -476.126, 30.3931, 12.4723, 0.00334648, 21.7433, -24.3552, -21.9709
0.129055, 0.0901757, -476.718, 30.6325, 11.4098, 0.00328697, 19.8627, -25.1372, -20.0683
0.148893, 0.0966602, -476.807, 30.7795, 10.3962, 0.00323635, 18.0747, -25.7928, -18.2639
0.170218, 0.102969, -476.433, 30.8552, 9.41654, 0.00319078, 16.335, -26.3239, -16.5117
0.193105, 0.109058, -475.431, 30.8697, 8.46034, 0.00314736, 14.6168, -26.7199, -14.7825
0.217637, 0.114877, -473.692, 30.8281, 7.521, 0.0031048, 12.9101, -26.9744, -13.0647
0.243905, 0.120364, -471.073, 30.7305, 6.59327, 0.00306262, 11.211, -27.0843, -11.3548
0.272006, 0.125451, -467.285, 30.5719, 5.67379, 0.00302137, 9.52273, -27.0515, -9.65723
0.302047, 0.130054, -462.147, 30.3515, 4.76308, 0.00298267, 7.857, -26.8883, -7.98417
0.334144, 0.134083, -455.642, 30.068, 3.86019, 0.00294684, 6.21617, -26.6003, -6.33852
0.368417, 0.137428, -447.88, 29.7218, 2.96438, 0.00291295, 4.60307, -26.1797, -4.72069
0.403395, 0.139898, -439.212, 29.3375, 2.10257, 0.00288105, 3.08423, -25.6487, -3.19215
0.437844, 0.141415, -430.214, 28.9298, 1.3044, 0.00285119, 1.70864, -25.0408, -1.80518
0.472036, 0.142063, -420.908, 28.5056, 0.559136, 0.00282341, 0.45439, -24.3769, -0.539416
0.505952, 0.141889, -411.37, 28.0795, -0.138269, 0.00279831, -0.688977, -23.6828, 0.615209
0.539575, 0.140934, -401.676, 27.6662, -0.79349, 0.00277623, -1.73871, -22.9815, 1.67326
0.572875, 0.139242, -392.622, 27.346, -1.406, 0.00276035, -2.70276, -22.3434, 2.6436
0.605865, 0.136788, -386.534, 27.1478, -2.02612, 0.00275172, -3.72608, -21.8191, 3.65755
0.638507, 0.133325, -382.684, 26.5773, -2.83378, 0.00272489, -5.12286, -20.9439, 5.01253
0.670708, 0.128648, -365.844, 25.4767, -3.69748, 0.00267237, -6.3511, -19.4997, 6.25105
0.702443, 0.122776, -340.652, 24.0195, -4.47488, 0.00259537, -7.24496, -17.6458, 7.16507
0.733699, 0.115756, -312.259, 22.3655, -5.1069, 0.00249964, -7.78159, -15.5865, 7.71986
0.76444, 0.107642, -281.755, 20.5574, -5.56987, 0.00238708, -7.955, -13.4288, 7.91261
0.794623, 0.0984913, -248.95, 18.5883, -5.84225, 0.00225655, -7.75946, -11.238, 7.73977
0.824206, 0.0883675, -214.338, 16.438, -5.90181, 0.00210539, -7.20519, -9.06876, 7.21104
0.853126, 0.0773486, -178.494, 14.0993, -5.72694, 0.00193091, -6.3215, -6.98712, 6.3554
0.881464, 0.0654553, -142.441, 11.5199, -5.27963, 0.00172551, -5.14003, -5.02623, 5.20014
0.909203, 0.0527419, -107.219, 8.78591, -4.56459, 0.00148764, -3.78145, -3.30015, 3.86411
0.936309, 0.039269, -76.4769, 5.67942, -3.45836, 0.00119064, -2.29257, -1.76731, 2.37095
0.962748, 0.0251113, -48.4683, 3.72901, -2.6555, 0.000945287, -1.31414, -0.961564, 1.41695
